building_type,floor_area,UA,CM,CA,UM,UI
MidriseApartment,110.5,422.4,9.947e+06,366,211.2,211.2
MidriseApartment,417.4,1071,2.483e+07,1047,535.3,535.3
MidriseApartment,208.6,633.1,1.505e+07,690.7,316.6,316.6
FullServiceRestaurant,686.9,1703,2.418e+08,2275,851.4,851.4
MidriseApartment,1308,1343,9.528e+07,4688,671.4,671.4
SmallOffice,543,3346,1.396e+08,1721,1673,1673
MediumOffice,1093,7047,3.058e+08,5048,3524,3524
MidriseApartment,202.7,383.3,1.55e+07,671.4,191.7,191.7
MidriseApartment,187.9,339.5,1.366e+07,622.3,169.8,169.8
MidriseApartment,265.1,428.6,1.704e+07,878,214.3,214.3
MidriseApartment,356.6,1152,2.743e+07,1228,575.8,575.8
MidriseApartment,191.9,620.4,1.471e+07,635.4,310.2,310.2
MidriseApartment,298.2,276.8,1.892e+07,987.5,138.4,138.4
MidriseApartment,452.3,1435,3.461e+07,1731,717.7,717.7
MediumOffice,980.2,8011,2.773e+08,4782,4006,4006
MidriseApartment,179.8,676.2,1.593e+07,595.3,338.1,338.1
MidriseApartment,40.55,264.5,6.257e+06,157,132.2,132.2
MidriseApartment,261.3,482.6,2.062e+07,1140,241.3,241.3
MidriseApartment,214.5,823.4,2.008e+07,982.1,411.7,411.7
MidriseApartment,183.4,337.2,1.36e+07,607.3,168.6,168.6
MidriseApartment,100.3,395,9.293e+06,332.3,197.5,197.5
MediumOffice,1232,9263,3.269e+08,5384,4632,4632
MidriseApartment,569.4,1613,3.798e+07,1684,806.7,806.7
MidriseApartment,272.6,778,1.855e+07,902.8,389,389
MidriseApartment,323.2,1213,2.897e+07,1194,606.7,606.7
MidriseApartment,170.8,630.8,1.515e+07,663.4,315.4,315.4
MidriseApartment,222.3,639.9,1.525e+07,736.1,320,320
MidriseApartment,436.5,1452,3.49e+07,1652,725.9,725.9
MidriseApartment,265.7,715.3,1.711e+07,879.9,357.6,357.6
MidriseApartment,527.5,1615,3.755e+07,1463,807.4,807.4
RetailStandalone,881.7,2057,3.069e+08,3713,1028,1028
MidriseApartment,267.1,1179,2.783e+07,935.8,589.6,589.6
SmallOffice,222.1,1640,5.814e+07,735.5,820.2,820.2
MidriseApartment,177.3,700.9,1.707e+07,809.2,350.5,350.5
MidriseApartment,257.4,885.5,2.094e+07,852.4,442.7,442.7
MidriseApartment,202.8,635.1,1.508e+07,671.6,317.5,317.5
