timestamp,air_temperature[degF],system_mode
2020-01-03 07:32:54 PST,+68.9998,HEAT
2020-01-03 07:36:03 PST,+71.0071,OFF
2020-01-03 07:51:28 PST,+68.9995,HEAT
2020-01-03 07:54:36 PST,+71.0007,OFF
2020-01-03 08:00:00 PST,+69.7836,OFF
2020-01-03 08:11:01 PST,+68.9999,HEAT
2020-01-03 08:14:08 PST,+71.0078,OFF
2020-01-03 08:31:02 PST,+68.9996,HEAT
2020-01-03 08:34:08 PST,+71.0013,OFF
2020-01-03 08:51:05 PST,+68.9999,HEAT
2020-01-03 08:54:11 PST,+71.002,OFF
2020-01-03 09:00:00 PST,+69.7579,OFF
2020-01-03 09:32:22 PST,+68.9999,HEAT
2020-01-03 09:35:16 PST,+71.0049,OFF
2020-01-03 10:00:00 PST,+69.1757,OFF
2020-01-03 11:00:00 PST,+69.4973,OFF
2020-01-03 12:00:00 PST,+69.6242,OFF
2020-01-03 13:00:00 PST,+70.5337,OFF
2020-01-03 14:00:00 PST,+71.3399,OFF
2020-01-03 15:00:00 PST,+72.1506,OFF
2020-01-03 16:00:00 PST,+72.5228,OFF
2020-01-03 17:00:00 PST,+71.9708,OFF
2020-01-03 18:00:00 PST,+70.6041,OFF
2020-01-03 19:00:00 PST,+69.2498,OFF
2020-01-03 19:09:34 PST,+69,HEAT
2020-01-03 19:12:28 PST,+71.001,OFF
2020-01-03 19:31:58 PST,+68.9998,HEAT
2020-01-03 19:34:54 PST,+71.0049,OFF
2020-01-03 19:53:29 PST,+68.9997,HEAT
2020-01-03 19:56:25 PST,+71.001,OFF
2020-01-03 20:00:00 PST,+70.1168,OFF
2020-01-03 20:10:35 PST,+68.9994,HEAT
2020-01-03 20:13:50 PST,+71.0019,OFF
2020-01-03 20:28:07 PST,+68.9997,HEAT
2020-01-03 20:31:22 PST,+71.0081,OFF
2020-01-03 20:45:54 PST,+68.9999,HEAT
2020-01-03 20:49:08 PST,+71.0028,OFF
2020-01-03 21:00:00 PST,+69.2148,OFF
2020-01-03 21:03:12 PST,+68.9994,HEAT
2020-01-03 21:06:34 PST,+71.0003,OFF
2020-01-03 21:19:59 PST,+68.9997,HEAT
2020-01-03 21:23:21 PST,+71.0034,OFF
2020-01-03 21:36:53 PST,+68.9992,HEAT
2020-01-03 21:40:15 PST,+71.0045,OFF
2020-01-03 21:53:50 PST,+68.9991,HEAT
2020-01-03 21:57:12 PST,+71.005,OFF
2020-01-03 22:00:00 PST,+70.2129,OFF
2020-01-03 22:09:05 PST,+69,HEAT
2020-01-03 22:12:44 PST,+71.0048,OFF
2020-01-03 22:24:36 PST,+68.9998,HEAT
2020-01-03 22:28:14 PST,+71.0013,OFF
2020-01-03 22:40:10 PST,+68.9995,HEAT
2020-01-03 22:43:48 PST,+71.0027,OFF
2020-01-03 22:55:47 PST,+68.999,HEAT
2020-01-03 22:59:25 PST,+71.0031,OFF
2020-01-03 23:00:00 PST,+70.7984,OFF
2020-01-03 23:01:25 PST,+70.3743,OFF
2020-01-03 23:11:13 PST,+68.9996,HEAT
2020-01-03 23:14:52 PST,+71.0045,OFF
2020-01-03 23:26:39 PST,+68.9995,HEAT
2020-01-03 23:30:18 PST,+71.004,OFF
2020-01-03 23:42:04 PST,+68.9998,HEAT
2020-01-03 23:45:43 PST,+71.004,OFF
2020-01-03 23:57:29 PST,+68.9995,HEAT
2020-01-04 00:00:00 PST,+70.4926,HEAT
2020-01-04 00:01:08 PST,+71.0023,OFF
2020-01-04 00:12:45 PST,+68.9996,HEAT
2020-01-04 00:16:25 PST,+71.0059,OFF
2020-01-04 00:28:02 PST,+68.9992,HEAT
2020-01-04 00:31:42 PST,+71.0052,OFF
2020-01-04 00:43:18 PST,+68.9995,HEAT
2020-01-04 00:46:58 PST,+71.0052,OFF
2020-01-04 00:58:34 PST,+68.9992,HEAT
2020-01-04 01:00:00 PST,+69.9163,HEAT
2020-01-04 01:00:34 PST,+70.2128,HEAT
2020-01-04 01:02:21 PST,+71.0009,OFF
2020-01-04 01:13:09 PST,+68.9992,HEAT
2020-01-04 01:17:00 PST,+71.0059,OFF
2020-01-04 01:27:52 PST,+68.9996,HEAT
2020-01-04 01:31:42 PST,+71.0014,OFF
2020-01-04 01:42:35 PST,+68.9992,HEAT
2020-01-04 01:46:25 PST,+71.0018,OFF
2020-01-04 01:57:19 PST,+68.9989,HEAT
2020-01-04 02:00:00 PST,+70.515,HEAT
2020-01-04 02:01:13 PST,+71.004,OFF
2020-01-04 02:11:34 PST,+68.999,HEAT
2020-01-04 02:15:34 PST,+71.0042,OFF
2020-01-04 02:25:58 PST,+68.9987,HEAT
2020-01-04 02:29:58 PST,+71.0056,OFF
2020-01-04 02:40:23 PST,+69,HEAT
2020-01-04 02:44:22 PST,+71.0012,OFF
2020-01-04 02:54:47 PST,+68.9998,HEAT
2020-01-04 02:58:46 PST,+71.0014,OFF
2020-01-04 03:00:00 PST,+70.5694,OFF
2020-01-04 03:00:46 PST,+70.3476,OFF
2020-01-04 03:09:42 PST,+68.9992,HEAT
2020-01-04 03:13:32 PST,+71.0034,OFF
2020-01-04 03:24:27 PST,+68.9988,HEAT
2020-01-04 03:28:17 PST,+71.0015,OFF
2020-01-04 03:39:09 PST,+68.9997,HEAT
2020-01-04 03:42:59 PST,+71.0013,OFF
2020-01-04 03:53:50 PST,+68.9999,HEAT
2020-01-04 03:57:40 PST,+71.0009,OFF
2020-01-04 04:00:00 PST,+70.2628,OFF
2020-01-04 04:06:47 PST,+68.9994,HEAT
2020-01-04 04:11:26 PST,+71.0031,OFF
2020-01-04 04:20:28 PST,+68.9991,HEAT
2020-01-04 04:25:05 PST,+71.0008,OFF
2020-01-04 04:34:12 PST,+68.9983,HEAT
2020-01-04 04:38:49 PST,+71.0046,OFF
2020-01-04 04:47:59 PST,+68.9992,HEAT
2020-01-04 04:52:35 PST,+71.0027,OFF
2020-01-04 05:00:00 PST,+69.2138,OFF
2020-01-04 05:01:27 PST,+68.9992,HEAT
2020-01-04 05:06:56 PST,+71.0027,OFF
2020-01-04 05:15:05 PST,+68.9983,HEAT
2020-01-04 05:20:32 PST,+71.0037,OFF
2020-01-04 05:28:45 PST,+68.9991,HEAT
2020-01-04 05:34:10 PST,+71.0014,OFF
2020-01-04 05:42:25 PST,+68.9992,HEAT
2020-01-04 05:47:49 PST,+71.0002,OFF
2020-01-04 05:56:05 PST,+68.9993,HEAT
2020-01-04 06:00:00 PST,+70.5982,HEAT
2020-01-04 06:01:11 PST,+71.0019,OFF
2020-01-04 06:10:40 PST,+68.9998,HEAT
2020-01-04 06:15:13 PST,+71.0045,OFF
2020-01-04 06:24:37 PST,+68.9992,HEAT
2020-01-04 06:29:11 PST,+71.0048,OFF
2020-01-04 06:38:32 PST,+68.9991,HEAT
2020-01-04 06:43:06 PST,+71.0023,OFF
