t,z
3561.0,0.5410910353377891
3562.0,0.540475950983274
3563.0,0.5398608666287588
3564.0,0.5392457822742438
3565.0,0.5386306979197286
3566.0,0.5380156135652134
3567.0,0.5374005292106984
3568.0,0.5367854448561833
3569.0,0.5361703605016681
3570.0,0.5355552761471529
3571.0,0.5349401917926379
3572.0,0.5343251074381227
3573.0,0.5337100230836076
3574.0,0.5330949387290925
3575.0,0.5324798543745773
3576.0,0.5318647700200623
3577.0,0.5312496856655471
3578.0,0.5306346013110319
3579.0,0.5300195169565168
3580.0,0.5285110815050043
3581.0,0.5269733706187165
3582.0,0.5254356597324288
3583.0,0.5238979488461408
3584.0,0.522360237959853
3585.0,0.5208225270735652
3586.0,0.5192848161872774
3587.0,0.5177471053009897
3588.0,0.5162093944147018
3589.0,0.514671683528414
3590.0,0.5131339726421261
3591.0,0.5115962617558384
3592.0,0.5100585508695505
3593.0,0.5085208399832627
3594.0,0.506983129096975
3595.0,0.5054454182106871
3596.0,0.5039077073243993
3597.0,0.5023699964381114
3598.0,0.5008322855518237
3599.0,0.49929457466553584
3600.0,0.497756863779248
3601.0,0.4962191528929602
3602.0,0.4946814420066724
3603.0,0.49314373112038457
3604.0,0.4916060202340968
3605.0,0.49006830934780893
3606.0,0.48853059846152114
3607.0,0.48699288757523335
3608.0,0.48545517668894556
3609.0,0.4839174658026577
3610.0,0.48237975491636986
3611.0,0.48084204403008207
3612.0,0.48041740011372347
3613.0,0.4813400266454961
3614.0,0.48226265317726885
3615.0,0.48318527970904146
3616.0,0.48410790624081423
3617.0,0.48503053277258684
3618.0,0.4859531593043596
3619.0,0.4868757858361322
3620.0,0.487798412367905
3621.0,0.48872103889967755
3622.0,0.4896436654314503
3623.0,0.49056629196322293
3624.0,0.4914889184949957
3625.0,0.4924115450267683
3626.0,0.4933341715585411
3627.0,0.49425679809031375
3628.0,0.4951794246220865
3629.0,0.49610205115385914
3630.0,0.49702467768563185
3631.0,0.4979473042174045
3632.0,0.4988699307491772
3633.0,0.4997925572809499
3634.0,0.5007151838127226
3635.0,0.5016378103444953
3636.0,0.502560436876268
3637.0,0.5034830634080406
3638.0,0.5044056899398133
3639.0,0.505328316471586
3640.0,0.5062509430033587
3641.0,0.5071735695351314
3642.0,0.508096196066904
3643.0,0.5090188225986767
3644.0,0.5099414491304495
3645.0,0.5111521008829628
3646.0,0.5123822695919931
3647.0,0.5136124383010233
3648.0,0.5148426070100536
3649.0,0.5160727757190838
3650.0,0.5173029444281141
3651.0,0.5185331131371443
3652.0,0.5197632818461746
3653.0,0.5209934505552049
3654.0,0.5222236192642351
3655.0,0.5234537879732655
3656.0,0.5246839566822956
3657.0,0.5259141253913258
3658.0,0.5271442941003561
3659.0,0.5283744628093864
3660.0,0.5296046315184166
3661.0,0.5308348002274469
3662.0,0.5320649689364771
3663.0,0.5332951376455074
3664.0,0.5345253063545377
3665.0,0.5357554750635678
3666.0,0.5369856437725982
3667.0,0.5382158124816284
3668.0,0.5394459811906587
3669.0,0.5406761498996888
3670.0,0.5419063186087192
3671.0,0.5431364873177494
3672.0,0.5443666560267796
3673.0,0.5455968247358098
3674.0,0.5468269934448402
3675.0,0.5480571621538703
3676.0,0.5492873308629006
3677.0,0.5510349991438618
3678.0,0.5534953365619223
3679.0,0.5559556739799828
3680.0,0.5584160113980433
3681.0,0.5608763488161037
3682.0,0.5633366862341643
3683.0,0.5657970236522247
3684.0,0.5682573610702853
3685.0,0.5707176984883457
3686.0,0.5731780359064063
3687.0,0.5756383733244668
3688.0,0.5780987107425274
3689.0,0.5805590481605878
3690.0,0.5830193855786483
3691.0,0.5854797229967088
3692.0,0.5879400604147693
3693.0,0.5904003978328298
3694.0,0.5928607352508903
3695.0,0.5953210726689508
3696.0,0.5977814100870114
3697.0,0.6002417475050719
3698.0,0.6027020849231323
3699.0,0.6051624223411929
3700.0,0.6076227597592533
3701.0,0.6100830971773139
3702.0,0.6125434345953744
3703.0,0.6150037720134348
3704.0,0.6174641094314953
3705.0,0.6199244468495559
3706.0,0.6223847842676163
3707.0,0.6248451216856769
3708.0,0.6273054591037374
3709.0,0.6297657965217979
3710.0,0.6327826674248229
3711.0,0.6358580891973986
3712.0,0.6389335109699742
3713.0,0.6420089327425498
3714.0,0.6450843545151254
3715.0,0.6481597762877012
3716.0,0.6512351980602767
3717.0,0.6543106198328523
3718.0,0.6573860416054279
3719.0,0.6604614633780035
3720.0,0.6635368851505793
3721.0,0.6666123069231549
3722.0,0.6696877286957305
3723.0,0.672763150468306
3724.0,0.6758385722408817
3725.0,0.6789139940134573
3726.0,0.681989415786033
3727.0,0.6850648375586086
3728.0,0.6881402593311842
3729.0,0.69121568110376
3730.0,0.6942911028763354
3731.0,0.697366524648911
3732.0,0.7004419464214867
3733.0,0.7035173681940623
3734.0,0.706592789966638
3735.0,0.7096682117392137
3736.0,0.7127436335117892
3737.0,0.7158190552843647
3738.0,0.7188944770569405
3739.0,0.7219698988295161
3740.0,0.7250453206020917
3741.0,0.7281207423746674
3742.0,0.7303588492441728
3743.0,0.7312814757759456
3744.0,0.7322041023077184
3745.0,0.7331267288394909
3746.0,0.7340493553712636
3747.0,0.7349719819030364
3748.0,0.735894608434809
3749.0,0.7368172349665817
3750.0,0.7377398614983544
3751.0,0.7386624880301271
3752.0,0.7395851145618998
3753.0,0.7405077410936725
3754.0,0.7414303676254451
3755.0,0.7423529941572179
3756.0,0.7432756206889906
3757.0,0.7441982472207632
3758.0,0.7451208737525359
3759.0,0.7460435002843087
3760.0,0.7469661268160813
3761.0,0.747888753347854
3762.0,0.7488113798796265
3763.0,0.7497340064113993
3764.0,0.7506566329431721
3765.0,0.7515792594749447
3766.0,0.7525018860067173
3767.0,0.7534245125384901
3768.0,0.7543471390702627
3769.0,0.7552697656020355
3770.0,0.7561923921338081
3771.0,0.7571150186655808
3772.0,0.7580376451973535
3773.0,0.7589602717291262
3774.0,0.7598828982608989
3775.0,0.7597314917357761
