"PK_ApplianceID","CK_SiteID","CK_RoomID","Row Type","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Washer-Dryer Matched Pair","Washer Depth","Washer Depth_notes","Washer Diameter","Washer Diameter_notes","Washer Size","Washer Size_notes","Washer Primary","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00020844","SITE_00281","Room_00000713","Washer","Vertical Axis (with agitator)","No",2012,,"C22520725","Amana","Ntw4600yq0","Unknown","No",22.0000,,18.0000,,3.2000,,"Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00020845","SITE_00284","Room_00000753","Washer","Vertical Axis (with agitator)","No",2010,,"MT124545H","Hotpoint","VLSR1090G8WW","Unknown","Yes",19.0000,,19.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020846","SITE_00285","Room_00000767","Washer","Vertical Axis (with agitator)","No",1996,,"MR907406T","RCA","YBXR1060T5WW","Unknown","Yes",18.0000,,19.0000,,3.0000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020847","SITE_00288","Room_00000793","Washer","Vertical Axis (with agitator)","No",1996,,"CF3408745","Roper","Rax6144eq0","Unknown","Unknown",17.0000,,17.0000,,2.2000,,"Unknown","Unknown","N/A","Laundry_1","Laundry"
"Appliance_00020848","SITE_00289","Room_00000807","Washer","Vertical Axis (with agitator)","No",2004,,"22162869EP","Maytag","PAVT454EWW","Yes","No",18.0000,,20.0000,,3.3000,,"Yes","No","N/A","Hall_1","Hall"
"Appliance_00020849","SITE_00290","Room_00000818","Washer","Vertical Axis (with agitator)","No",2010,,"C02441059","Whirlpool","WTW57ESVW1","Yes","Yes",20.0000,,18.0000,,2.9000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022261","SITE_00295","Room_00008714","Washer","Horizontal Axis","No",2009,,"911KWRE03894","LG","WM2301HW","Yes","Yes",17.0000,,21.0000,,3.4000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022264","SITE_00296","Room_00008727","Washer","Vertical Axis (with agitator)","No",,"Unknown","Unknown","Frigidaire","Unknown","Unknown","Yes",16.0000,,21.0000,,3.2000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022224","SITE_00298","Room_00008745","Washer","Vertical Axis (with agitator)","No",,"Unknown","Unknown","Frigidaire","Unknown","Unknown","Yes",16.0000,,22.0000,,3.5000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022279","SITE_00299","Room_00008754","Washer","Vertical Axis (with agitator)","No",2005,,"CS1789165","Kenmore","110.24422300","No","No",17.0000,,22.0000,,3.7000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022293","SITE_00300","Room_00008766","Washer","Vertical Axis (without agitator)","No",2002,,"UFG401394","Fisher & Paykel","WL42T26DW1","No","No",19.0000,,19.0000,,3.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022294","SITE_00301","Room_00008787","Washer","Horizontal Axis","No",2010,,"003KWXT04570","LG","WM2301HR","Yes","Yes",19.0000,,21.0000,,3.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022247","SITE_00302","Room_00008797","Washer","Vertical Axis (without agitator)","No",2015,,"C54538023","Maytag","Mvwc415ew1","No","No",18.0000,,20.0000,,3.3000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022529","SITE_00304","Room_00008817","Washer","Vertical Axis (with agitator)","No",,"Unknown","CX0414303","Sears","110.82980810","No","Yes",19.0000,,20.0000,,3.5000,,"Yes","No","N/A","Hall_1","Hall"
"Appliance_00022530","SITE_00305","Room_00008828","Washer","Vertical Axis (with agitator)","No",,"Unknown","SV1  10007G","General Electric","Wwa8354vmlad","No","No",18.0000,,19.0000,,3.0000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022463","SITE_00306","Room_00008830","Washer","Vertical Axis (with agitator)","No",1998,,"11511557UH","Maytag","Pav1000aww","No","Yes",22.0000,,14.0000,,2.0000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00022470","SITE_00307","Room_00008840","Washer","Vertical Axis (with agitator)","No",2013,,"1304019838","Alliance Laundry","awn412sp111tw01","No","No",16.0000,,13.0000,,1.2000,,"Yes","No","N/A","Hall_1","Hall"
"Appliance_00022461","SITE_00309","Room_00008853","Washer","Vertical Axis (with agitator)","No",1999,,"CJ1328393","Whirlpool","Lxr6232eq0","No","Yes",17.0000,,19.0000,,2.8000,,"Yes","No","N/A","Laundry_2","Laundry"
