"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units","Notes"
"Mechanical_00001568","SITE_01122","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001571","SITE_00170","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001582","SITE_00800","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001588","SITE_01204","Bathroom Vent","Unknown","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001590","SITE_01126","Bathroom Vent","Unknown","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001594","SITE_00072","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001597","SITE_01194","Bathroom Vent","Builder Grade","No","Unknown",0.0000,,"Hours per day","I believe ducting was removed, but the vent register was not removed"
"Mechanical_00001600","SITE_00058","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0010,,"Hours per day",
"Mechanical_00001602","SITE_00062","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0100,,"Hours per day",
"Mechanical_00001607","SITE_00063","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0750,,"Hours per day",
"Mechanical_00001609","SITE_00047","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.4500,,"Hours per day",
"Mechanical_00001612","SITE_00151","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001614","SITE_00067","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001616","SITE_00066","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001628","SITE_01183","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.5000,,"Hours per day",
"Mechanical_00001631","SITE_01197","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001633","SITE_01182","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001636","SITE_00147","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001638","SITE_00802","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day","Laundry room fan"
"Mechanical_00001640","SITE_00070","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001642","SITE_00070","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day","Turns on with light in bathroom with primary shower"
"Mechanical_00001647","SITE_01113","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001649","SITE_01199","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001655","SITE_01205","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001657","SITE_00147","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
