"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units","Notes"
"Mechanical_00001307","SITE_01555","Bathroom Vent","Unknown","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001308","SITE_01555","Bathroom Vent","Unknown","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001309","SITE_01804","Bathroom Vent","Unknown","Yes","Manual Switch",1.0000,,"Hours per day","Turns on with lights"
"Mechanical_00001402","SITE_01911","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001409","SITE_01907","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001414","SITE_01649","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001416","SITE_01627","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001419","SITE_01180","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001420","SITE_01180","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001427","SITE_01210","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001429","SITE_01210","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001434","SITE_01186","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001436","SITE_01149","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001439","SITE_00796","Bathroom Vent","Builder Grade","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001440","SITE_00814","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001447","SITE_01171","Bathroom Vent","Panasonic or equivalent","Yes","Continuous",24.0000,,"Hours per day",
"Mechanical_00001451","SITE_00812","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001453","SITE_01119","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.3000,,"Hours per day",
"Mechanical_00001457","SITE_01128","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001460","SITE_01749","Bathroom Vent","Unknown","Yes","Unknown",,"Unknown","Hours per day","Automatic on/off"
"Mechanical_00001462","SITE_01598","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001467","SITE_01672","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001469","SITE_01730","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day","Laundry fan"
"Mechanical_00001473","SITE_01625","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001475","SITE_01612","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001477","SITE_01088","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001479","SITE_01559","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001483","SITE_01134","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00001487","SITE_01135","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001489","SITE_01142","Bathroom Vent","Builder Grade","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001494","SITE_00073","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00001499","SITE_01156","Bathroom Vent","Panasonic or equivalent","Yes","Continuous",12.0000,,"Hours per day","Motion sensing"
"Mechanical_00001502","SITE_00054","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.5000,,"Hours per day",
"Mechanical_00001505","SITE_01151","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001515","SITE_00044","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001517","SITE_01144","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00001518","SITE_00797","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00001520","SITE_01139","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00001251","SITE_02067","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001252","SITE_02067","Bathroom Vent","Builder Grade","Yes","Manual Switch",3.0000,,"Hours per day",
"Mechanical_00001267","SITE_01734","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001268","SITE_01610","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001269","SITE_01610","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001270","SITE_01610","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001271","SITE_01610","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001272","SITE_01567","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.1000,,"Hours per day",
"Mechanical_00001286","SITE_02047","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001287","SITE_02047","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001288","SITE_02047","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001289","SITE_01732","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",24.0000,,"Hours per day",
"Mechanical_00001290","SITE_01601","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00001291","SITE_01602","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001300","SITE_01678","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001301","SITE_01682","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001310","SITE_01814","Bathroom Vent","Unknown","Yes","Continuous",24.0000,,"Hours per day",
"Mechanical_00001311","SITE_01646","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00001312","SITE_01588","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001313","SITE_01588","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001322","SITE_01673","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001334","SITE_01679","Bathroom Vent","Unknown","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001335","SITE_02060","Bathroom Vent","Unknown","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001336","SITE_02060","Bathroom Vent","Unknown","Yes","Humidity Control Switch",1.0000,,"Hours per day",
"Mechanical_00001337","SITE_02060","Bathroom Vent","Unknown","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001344","SITE_02066","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001345","SITE_02044","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001346","SITE_02044","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00001350","SITE_01089","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.5000,,"Hours per day",
"Mechanical_00001351","SITE_01089","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.5000,,"Hours per day",
"Mechanical_00001352","SITE_01089","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day","In laundry room"
"Mechanical_00001361","SITE_01816","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001363","SITE_01644","Bathroom Vent","Builder Grade","Yes","Continuous",24.0000,,"Hours per day",
"Mechanical_00001364","SITE_02041","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001366","SITE_01576","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.3300,,"Hours per day",
"Mechanical_00001318","SITE_01573","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001319","SITE_01673","Bathroom Vent","Panasonic or equivalent","Yes","Humidity Control Switch",11.0000,,"Hours per day",
"Mechanical_00001324","SITE_01542","Bathroom Vent","Builder Grade","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001325","SITE_01542","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001327","SITE_01813","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001347","SITE_01922","Bathroom Vent","Panasonic or equivalent","Yes","Variable Speed",0.7500,,"Hours per day",
"Mechanical_00001357","SITE_01645","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001358","SITE_01645","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001359","SITE_01645","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001369","SITE_01671","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001373","SITE_02011","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001374","SITE_01719","Bathroom Vent","Builder Grade","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001375","SITE_01632","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001376","SITE_01626","Bathroom Vent","Builder Grade","Yes","Timer",1.0000,,"Hours per day",
"Mechanical_00001383","SITE_01680","Bathroom Vent","Builder Grade","Yes","Manual Switch",,"Unknown","Hours per day","Hours per day: Unknown"
"Mechanical_00001384","SITE_01607","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day","Rarely used"
"Mechanical_00001385","SITE_01607","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.1000,,"Hours per day",
"Mechanical_00001386","SITE_01607","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001394","SITE_01674","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001396","SITE_01665","Bathroom Vent","Builder Grade","Yes","Timer",0.1000,,"Hours per day",
"Mechanical_00001397","SITE_01665","Bathroom Vent","Builder Grade","Yes","Timer",0.1000,,"Hours per day",
"Mechanical_00001399","SITE_01665","Bathroom Vent","Builder Grade","Yes","Timer",0.1000,,"Hours per day",
"Mechanical_00001437","SITE_01150","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001449","SITE_01147","Bathroom Vent","Builder Grade","Yes","N/A",24.0000,,"Hours per day",
"Mechanical_00001450","SITE_00812","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001452","SITE_00796","Bathroom Vent","Builder Grade","Yes","Timer",0.1000,,"Hours per day",
"Mechanical_00001461","SITE_01598","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.2000,,"Hours per day",
"Mechanical_00001468","SITE_01730","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001470","SITE_01730","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day","Mold present in corner above shower"
"Mechanical_00001471","SITE_01559","Bathroom Vent","Panasonic or equivalent","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001472","SITE_01559","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001492","SITE_00174","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001493","SITE_00073","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001500","SITE_01212","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001501","SITE_01212","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001525","SITE_00793","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001527","SITE_01165","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001530","SITE_01159","Bathroom Vent","Builder Grade","Yes","Timer",0.3300,,"Hours per day",
"Mechanical_00001539","SITE_01135","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.0000,,"Hours per day","Laundry closet vent"
"Mechanical_00001540","SITE_00007","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001542","SITE_01142","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001547","SITE_00056","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001549","SITE_01154","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001554","SITE_00144","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001556","SITE_00048","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001560","SITE_00055","Bathroom Vent","Unknown","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001566","SITE_01114","Bathroom Vent","Builder Grade","Yes","Manual Switch",2.5000,,"Hours per day",
"Mechanical_00001567","SITE_01105","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001569","SITE_01111","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001570","SITE_00170","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001572","SITE_00170","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001577","SITE_00172","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001579","SITE_00049","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00001580","SITE_00049","Bathroom Vent","Builder Grade","Yes","Continuous",24.0000,,"Hours per day","Laundry fan for cat box"
"Mechanical_00001583","SITE_00800","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001585","SITE_01116","Bathroom Vent","Unknown","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001595","SITE_01174","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001596","SITE_01118","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001598","SITE_01157","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001601","SITE_00062","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001608","SITE_00047","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.3300,,"Hours per day",
"Mechanical_00001613","SITE_00061","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001615","SITE_00067","Bathroom Vent","Builder Grade","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001620","SITE_00079","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001622","SITE_00158","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001625","SITE_00156","Bathroom Vent","Builder Grade","Yes","Manual Switch",12.0000,,"Hours per day",
"Mechanical_00001627","SITE_00164","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001629","SITE_01197","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001630","SITE_01197","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001639","SITE_00802","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001641","SITE_00070","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001391","SITE_01631","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001400","SITE_01590","Bathroom Vent","Builder Grade","Yes","Timer",0.2000,,"Hours per day",
"Mechanical_00001405","SITE_01636","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001406","SITE_01750","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001407","SITE_01750","Bathroom Vent","Builder Grade","Yes","Unknown",24.0000,,"Hours per day",
"Mechanical_00001410","SITE_01907","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00001411","SITE_01635","Bathroom Vent","Builder Grade","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001412","SITE_01552","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001413","SITE_01552","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001422","SITE_01125","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0500,,"Hours per day",
"Mechanical_00001423","SITE_01193","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001424","SITE_01193","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001425","SITE_01193","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001430","SITE_01210","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001431","SITE_01195","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001432","SITE_01195","Bathroom Vent","Builder Grade","Yes","Timer",0.2500,,"Hours per day",
"Mechanical_00001442","SITE_00798","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001443","SITE_00798","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.5000,,"Hours per day",
"Mechanical_00001444","SITE_01179","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001445","SITE_01104","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.5000,,"Hours per day",
"Mechanical_00001446","SITE_01185","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001455","SITE_01129","Bathroom Vent","Builder Grade","Yes","With Light",1.0000,,"Hours per day",
"Mechanical_00001459","SITE_00078","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0100,,"Hours per day",
"Mechanical_00001463","SITE_01743","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001464","SITE_01743","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001466","SITE_01672","Bathroom Vent","Panasonic or equivalent","Yes","Timer",1.0000,,"Hours per day",
"Mechanical_00001480","SITE_01603","Bathroom Vent","Builder Grade","Yes","Timer",0.1250,,"Hours per day",
"Mechanical_00001485","SITE_00075","Bathroom Vent","Builder Grade","Yes","Timer",1.0000,,"Hours per day",
"Mechanical_00001490","SITE_00176","Bathroom Vent","Panasonic or equivalent","No","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001491","SITE_00174","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001497","SITE_01164","Bathroom Vent","Panasonic or equivalent","Yes","Continuous",24.0000,,"Hours per day",
"Mechanical_00001509","SITE_01162","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day","Laundry"
"Mechanical_00001511","SITE_01215","Bathroom Vent","Builder Grade","Yes","Timer",6.0000,,"Hours per day","Programmed to go on 15 min/ hour"
"Mechanical_00001512","SITE_01215","Bathroom Vent","Builder Grade","Yes","Timer",0.2500,,"Hours per day",
"Mechanical_00001513","SITE_00169","Bathroom Vent","Panasonic or equivalent","Yes","Timer",1.0000,,"Hours per day",
"Mechanical_00001529","SITE_01123","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001506","SITE_01170","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day","Laundry"
"Mechanical_00001507","SITE_01163","Bathroom Vent","Builder Grade","Unknown","Unknown",,"Unknown","Hours per day","No obvious control mechanism or switch - seems like it is hooked into a central system that is controlled at the building level"
"Mechanical_00001514","SITE_00169","Bathroom Vent","Panasonic or equivalent","Yes","Timer",2.0000,,"Hours per day",
"Mechanical_00001519","SITE_00801","Bathroom Vent","Builder Grade","Yes","Humidity Sensor",12.0000,,"Hours per day",
"Mechanical_00001521","SITE_01139","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001522","SITE_00045","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001523","SITE_01123","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00001524","SITE_00793","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001543","SITE_00176","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001544","SITE_00044","Bathroom Vent","Panasonic or equivalent","Yes","Timer",1.0000,,"Hours per day",
"Mechanical_00001545","SITE_00791","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001546","SITE_00791","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001550","SITE_01154","Bathroom Vent","Builder Grade","Yes","Continuous",24.0000,,"Hours per day",
"Mechanical_00001551","SITE_00144","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001552","SITE_00144","Bathroom Vent","Builder Grade","Yes","Timer",0.1250,,"Hours per day",
"Mechanical_00001563","SITE_00154","Bathroom Vent","Unknown","Yes","Timer",0.0000,,"Hours per day",
"Mechanical_00001564","SITE_01198","Bathroom Vent","Unknown","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001578","SITE_00172","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001581","SITE_00800","Bathroom Vent","Builder Grade","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001584","SITE_01174","Bathroom Vent","Unknown","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001592","SITE_00159","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001593","SITE_00159","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001599","SITE_01201","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0100,,"Hours per day",
"Mechanical_00001617","SITE_01132","Bathroom Vent","Builder Grade","Yes","Continuous",0.2500,,"Hours per day",
"Mechanical_00001618","SITE_01106","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1250,,"Hours per day",
"Mechanical_00001619","SITE_00076","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001621","SITE_01108","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00001623","SITE_00158","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001624","SITE_00158","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001626","SITE_00164","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.5000,,"Hours per day",
"Mechanical_00001651","SITE_01200","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001652","SITE_01200","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day","In laundry room"
"Mechanical_00001653","SITE_01190","Bathroom Vent","Builder Grade","Yes","Manual Switch",5.0000,,"Hours per day",
"Mechanical_00001664","SITE_00815","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day","There are two fans here. One flips on with the heat lamp and one has separate switch"
"Mechanical_00001648","SITE_01113","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.0000,,"Hours per day","In laundry"
"Mechanical_00001650","SITE_01200","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001656","SITE_01203","Bathroom Vent","Panasonic or equivalent","Yes","Timer",0.4000,,"Hours per day",
"Mechanical_00001659","SITE_00051","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001660","SITE_00051","Bathroom Vent","Panasonic or equivalent","Yes","Timer",1.0000,,"Hours per day",
"Mechanical_00001662","SITE_00051","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.2000,,"Hours per day",
"Mechanical_00001670","SITE_00134","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",4.0000,,"Hours per day",
"Mechanical_00001674","SITE_01103","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.3000,,"Hours per day",
"Mechanical_00001675","SITE_01110","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001686","SITE_01769","Bathroom Vent","Builder Grade","No","Timer",0.0000,,"Hours per day","Sealed off by customer"
"Mechanical_00001688","SITE_01772","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001692","SITE_01928","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001694","SITE_01930","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001699","SITE_01961","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001700","SITE_01961","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001706","SITE_01995","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001707","SITE_01995","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
