"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","TV Screen Type","TV Screen Surface","TV Resolution","Primary","Size (Diagonal Inches)","Size (Diagonal Inches)_notes","Wattage","Wattage_notes","Set Top Box Present","Set Top Box Provider","Set Top Box Year","Set Top Box Year_notes","Set Top Box Size","Set Top Box Records","STB Wifi","TV Wifi","TV Qty of Streaming Devices","TV Qty of Streaming Devices_notes","TV Qty of External Media Devices","TV Qty of External Media Devices_notes","TV Auxiliary Devices Plugged into Single Strip","Notes","Room Name","Room Type"
"Appliance_00018803","SITE_01145","Room_00016589","Television","No",,"Unknown","7214V23001225","White-Westinghouse","Cw40t2rw","Yes","LCD","Flat","FHD (1080P)","Primary",40.0000,,73.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00018978","SITE_01146","Room_00016598","Television","Yes",2011,,"N/A","Magnavox","37MD311B/F7","No","LCD","Flat","FHD (1080P)","Secondary",37.0000,,83.0000,,"Yes","Comcast",2014,,"Full","Yes","Yes","Unknown",0,,0,,"Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00018979","SITE_01146","Room_00016599","Television","No",,"Unknown","Unknown","Haier","Unknown","Unknown","Unknown","Flat","FHD (1080P)","Primary",55.0000,,110.0000,,"Yes","Comcast",2014,,"Full","Yes","Yes","Unknown",0,,0,,"Yes","Model number behind wall mount","Family Room_1","Family Room"
"Appliance_00018678","SITE_01147","Room_00016600","Television","No",,"Unknown","2290R2302S","Seiki","Se22hy01","Yes","LCD","Flat","FHD (1080P)","Primary",21.5000,,16.5000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","N/A","Living Room_3","Living Room"
"Appliance_00018794","SITE_01148","Room_00016607","Television","Yes",2012,,"N/A","TCL","58-xf33mp-jkl1c","No","LED","Flat","FHD (1080P)","Primary",43.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,2,,"Yes","No access to plug","Living Room_1","Living Room"
"Appliance_00018674","SITE_01149","Room_00016618","Television","No",,"Unknown","Unknown","Samsung","Unknown","Unknown","LCD","Flat","FHD (1080P)","Primary",50.0000,,160.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",1,,0,,"No","N/A","Living Room_1","Living Room"
"Appliance_00018677","SITE_01150","Room_00016620","Television","Yes",2007,,"N/A","Vizio","Vx20l","No","LCD","Flat","Standard Definition","Primary",20.0000,,57.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Unknown","N/A","Kitchen_1","Kitchen"
"Appliance_00018766","SITE_01151","Room_00016633","Television","Yes",2009,,"N/A","LG","47LH40-UA","No","LCD","Flat","FHD (1080P)","Primary",48.0000,,,"Could not meter","Yes","Comcast",2013,,"Full","No","No","No",0,,1,,"Unknown","Camt collect wattage beause of power outage","Living Room_1","Living Room"
"Appliance_00018767","SITE_01151","Room_00016631","Television","No",,"Unknown","Unknown","Sony","Unknown","Yes","LCD","Flat","High Definition (720P)","Secondary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Unknown","Cant access or measure wattage due to power outage","Kitchen_1","Kitchen"
"Appliance_00018754","SITE_01151","Room_00016624","Television","Yes",2009,,"N/A","Samsung","Ln40b550k1f","Yes","LCD","Flat","FHD (1080P)","Secondary",40.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","N/A","Bedroom_6","Bedroom"
"Appliance_00018755","SITE_01151","Room_00016626","Television","No",,"Unknown","Unknown","Philips","Unknown","Yes","Tube (CRT and internal or rear projector)","Flat","High Definition (720P)","Secondary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Yes","N/A","Bedroom_8","Bedroom"
"Appliance_00018955","SITE_01152","Room_00016639","Television","No",,"Unknown","Unknown","Dynex","Unknown","Unknown","Unknown","Flat","Unknown","Primary",32.0000,,,"Could not meter","Yes","Directv",,"Unknown","Unknown","Unknown","Unknown","Unknown",0,,3,,"Yes","Could not access nameplate due to being attached to wall.  Did not measure wattage.","Family Room_1","Family Room"
"Appliance_00018956","SITE_01152","Room_00016642","Television","No",,"Unknown","LUPBUGJ2113125","Vizio","VO32L HDTV10A","Yes","LCD","Flat","1080I","Secondary",32.0000,,110.0000,,"Yes","Directv",,"Unknown","Unknown","Unknown","Unknown","No",0,,1,,"Yes","Don't know when STB issued","Bedroom_1","Bedroom"
"Appliance_00018957","SITE_01152","Room_00016643","Television","No",,"Unknown","Unknown","Sony","KDL32s5100","Yes","LCD","Flat","FHD (1080P)","Unknown",32.0000,,102.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Unknown","Plugged into wall. Used for X box","Bedroom_2","Bedroom"
"Appliance_00018688","SITE_01153","Room_00016654","Television","No",,"Unknown","20AF46","Toshiba","Kd","No","Tube (CRT and internal or rear projector)","Curved","Standard Definition","Primary",18.0000,,60.0000,,"Yes","Comcast",2014,,"Full","No","No","No",0,,2,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00018819","SITE_01154","Room_00016665","Television","Yes",2015,,"N/A","Samsung","UN40J5200AFXZA","Yes","LED","Flat","FHD (1080P)","Primary",40.0000,,32.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,0,,"No","N/A","Living Room_1","Living Room"
"Appliance_00018823","SITE_01155","Room_00016669","Television","Yes",2015,,"N/A","Sony","Kdl40w600b","Yes","LCD","Flat","FHD (1080P)","Primary",40.0000,,23.0000,,"Yes","Comcast",2016,,"Small","No","No","Yes",0,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00018759","SITE_01156","Room_00016676","Television","No",,"Unknown","Unknown","Sony","Unknown","Yes","Tube (CRT and internal or rear projector)","Flat","Standard Definition","Secondary",20.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"No","No outlet access for watts meter","Bedroom_2","Bedroom"
"Appliance_00018760","SITE_01156","Room_00016677","Television","Yes",2006,,"N/A","Samsung","Tx-s2779h","No","Tube (CRT and internal or rear projector)","Flat","Standard Definition","Primary",27.0000,,93.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",1,,0,,"No","N/A","Living Room_1","Living Room"
"Appliance_00018885","SITE_01157","Room_00016690","Television","Yes",2007,,"N/A","Samsung","Ln-t3242h","Yes","LCD","Flat","High Definition (720P)","Primary",32.0000,,,"Could not meter","Yes","Dish Network",2011,,"Full","Yes","Yes","Yes",0,,2,,"Yes","Unable to measure wattage bc no meter","Office_1","Office"
"Appliance_00018675","SITE_01158","Room_00016698","Television","Yes",2014,,"N/A","Samsung","Un55hu8500f","Yes","LCD","Flat","FHD (1080P)","Primary",60.0000,,190.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",1,,0,,"No","N/A","Living Room_1","Living Room"
