"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","TV Screen Type","TV Screen Surface","TV Resolution","Primary","Size (Diagonal Inches)","Size (Diagonal Inches)_notes","Wattage","Wattage_notes","Set Top Box Present","Set Top Box Provider","Set Top Box Year","Set Top Box Year_notes","Set Top Box Size","Set Top Box Records","STB Wifi","TV Wifi","TV Qty of Streaming Devices","TV Qty of Streaming Devices_notes","TV Qty of External Media Devices","TV Qty of External Media Devices_notes","TV Auxiliary Devices Plugged into Single Strip","Notes","Room Name","Room Type"
"Appliance_00019581","SITE_00591","Room_00011629","Television","Yes",2012,,"N/A","Samsung","UN22D5003F","Yes","LCD","Flat","High Definition (720P)","Secondary",22.0000,,25.0000,,"Yes","Directv",2015,,"Small","No","No","No",0,,0,,"No","N/A","Bedroom_2","Bedroom"
"Appliance_00019662","SITE_00592","Room_00011633","Television","No",,"Unknown","Unknown","Samsung","Unknown","Unknown","LCD","Flat","High Definition (720P)","Primary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","Inaccessible","Living Room_1","Living Room"
"Appliance_00019597","SITE_00593","Room_00011654","Television","No",2005,,"N/A","Panasonic","TH-50PX50U","No","Plasma","Flat","High Definition (720P)","Primary",50.0000,,453.0000,,"Yes","Bend Broadband",2016,,"Full","Yes","No","No",0,,1,,"Yes","N/A","Family Room_1","Family Room"
"Appliance_00019592","SITE_00594","Room_00011659","Television","No",,"Unknown","208840920","Sharp","LC-60LE600U","Yes","LCD","Flat","FHD (1080P)","Primary",60.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"No","Can't measure","Living Room_1","Living Room"
"Appliance_00019612","SITE_00595","Room_00011673","Television","Yes",2013,,"N/A","LG","50ln5100","Yes","LCD","Flat","FHD (1080P)","Primary",50.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","Yes",1,,0,,"No","Cant collect, cant move furniture to access plug","Living Room_2","Living Room"
"Appliance_00019608","SITE_00595","Room_00011667","Television","No",,"Unknown","10223044022","Vizio","Visio vw32l hdtv40a","Yes","LCD","Flat","High Definition (720P)","Primary",32.0000,,65.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Yes","N/A","Bedroom_6","Bedroom"
"Appliance_00019708","SITE_00596","Room_00011679","Television","No",,"Unknown","Unknown","Sanyo","Unknown","No","Plasma","Flat","FHD (1080P)","Secondary",55.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","Wall mount, no meter","Living Room_1","Living Room"
"Appliance_00019709","SITE_00596","Room_00011687","Television","No",,"Unknown","Unknown","Sceptre","Unknown","Unknown","LED","Flat","Unknown","Primary",55.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","Unknown",0,,1,,"Unknown","No access to back, no meter","Bedroom_2","Bedroom"
"Appliance_00019687","SITE_00597","Room_00011693","Television","Yes",2014,,"N/A","Sony","Kdl-32r300b","Yes","LED","Flat","High Definition (720P)","Primary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","Cannot access powerstrip at all","Living Room_1","Living Room"
"Appliance_00019688","SITE_00597","Room_00011695","Television","No",,"Unknown","LUKEADK4106446","Sony","Vizio v0320e","Yes","LCD","Flat","High Definition (720P)","Secondary",34.0000,,42.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","N/A","Family Room_1","Family Room"
"Appliance_00019219","SITE_00598","Room_00011712","Television","Yes",1997,,"N/A","JVC","Av-32820","No","Tube (CRT and internal or rear projector)","None (Projector)","Standard Definition","Primary",32.0000,,,"Could not meter","Yes","Directv",2005,,"Full","Yes","No","No",0,,2,,"Unknown","No access to the cord. Large tube tv in a dresser","Family Room_1","Family Room"
"Appliance_00019617","SITE_00599","Room_00011724","Television","Yes",1991,,"N/A","RCA","G26291WK","No","Tube (CRT and internal or rear projector)","Curved","Standard Definition","Primary",24.0000,,54.0000,,"Yes","Dish Network",2012,,"Full","No","No","No",0,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019220","SITE_00600","Room_00011742","Television","No",,"Unknown","AUD13CSS301292A","Samsung","LN46B550K1FXZA","Yes","LCD","Flat","FHD (1080P)","Primary",46.0000,,254.0000,,"Yes","Directv",2017,,"Full","Yes","Unknown","No",0,,1,,"No","N/A","Living Room_1","Living Room"
"Appliance_00019221","SITE_00600","Room_00011733","Television","Yes",2007,,"N/A","Sony","KDL-32M3000","Yes","LCD","Flat","High Definition (720P)","Secondary",32.0000,,133.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00019222","SITE_00601","Room_00011747","Television","No",,"Unknown","8044421","Sony","Kdl-46ex700","Yes","LED","Flat","FHD (1080P)","Secondary",46.0000,,,"Could not meter","Yes","Bend Broadband",2013,,"Full","No","No","Yes",0,,1,,"No","No access to power cable","Living Room_1","Living Room"
"Appliance_00019223","SITE_00601","Room_00011755","Television","Yes",2013,,"N/A","Insignia","Ed2ddw1nkbfbynnx","No","LED","Flat","FHD (1080P)","Tertiary",28.0000,,11.8000,,"Yes","Bend Broadband",2013,,"Small","No","No","No",0,,0,,"Yes","Could only measure on black screen","Bedroom_1","Bedroom"
"Appliance_00019224","SITE_00601","Room_00011762","Television","No",,"Unknown","10D286910418","Insignia","Ns-26l450a11","Yes","LCD","Flat","FHD (1080P)","Primary",26.0000,,58.5000,,"Yes","Bend Broadband",2013,,"Full","No","No","No",0,,0,,"No","Could only measure black screen","Living Room_2","Living Room"
"Appliance_00019636","SITE_00603","Room_00011775","Television","Yes",2010,,"N/A","LG","47ld500-ua","Yes","LCD","Flat","FHD (1080P)","Secondary",47.0000,,134.0000,,"Yes","Bend Broadband",2015,,"Small","No","Yes","No",0,,1,,"Unknown","N/A","Family Room_1","Family Room"
"Appliance_00019637","SITE_00603","Room_00011779","Television","Yes",2012,,"N/A","Samsung","Un39eh5003fxza","Yes","LCD","Flat","FHD (1080P)","Secondary",39.0000,,56.0000,,"Yes","Bend Broadband",2015,,"Small","No","Yes","No",0,,0,,"No","N/A","Bedroom_2","Bedroom"
"Appliance_00019638","SITE_00603","Room_00011783","Television","Yes",2015,,"N/A","LG","65uf7690","Yes","LED","Flat","UHD (4080P)","Primary",65.0000,,126.0000,,"Yes","Bend Broadband",2015,,"Full","No","Yes","Yes",0,,0,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00019655","SITE_00604","Room_00011786","Television","Yes",2008,,"N/A","Sony","KDL42V4100","Yes","LCD","Flat","High Definition (720P)","Secondary",42.0000,,144.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Yes","N/A","Bedroom_6","Bedroom"
"Appliance_00019664","SITE_00604","Room_00011793","Television","Yes",2008,,"N/A","Samsung","Ln46a650a1f","Yes","Unknown","Flat","FHD (1080P)","Primary",45.0000,,,"Could not meter","Yes","Broadband",2016,,"Small","Yes","Yes","Yes",0,,1,,"Yes","Not accessible to measure wattage","Family Room_1","Family Room"
"Appliance_00019665","SITE_00604","Room_00011795","Television","Yes",2008,,"N/A","Sony","Kdl-42v4100","Yes","LCD","Flat","FHD (1080P)","Secondary",42.0000,,,"Could not meter","Yes","Broadband",2016,,"Small","Yes","Yes","Yes",1,,1,,"Yes","Plug not accessible","Other_1","Other"
"Appliance_00020521","SITE_00605","Room_00011809","Television","No",,"Unknown","LWZQPNBQ1702512","Vizio","E400i-B2","Yes","LED","Flat","FHD (1080P)","Primary",40.0000,,72.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,2,,"Yes","N/A","Kitchen_1","Kitchen"
"Appliance_00020471","SITE_00606","Room_00011814","Television","No",,"Unknown","Unknown","JVC","Unknown","No","Tube (CRT and internal or rear projector)","Curved","Standard Definition","Primary",36.0000,,2.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,2,,"Yes","Can't access","Living Room_1","Living Room"
"Appliance_00020518","SITE_00607","Room_00011828","Television","Yes",2008,,"N/A","Panasonic","TH-C42HD18","Yes","LCD","Flat","High Definition (720P)","Primary",42.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"Unknown","Could not access plug","Living Room_1","Living Room"
"Appliance_00020470","SITE_00608","Room_00011834","Television","Yes",2013,,"N/A","Sony","KDL-60R520A","Yes","LED","Flat","FHD (1080P)","Primary",60.0000,,115.0000,,"Yes","Bend Broadband",2016,,"Full","Yes","No","Yes",0,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019632","SITE_00609","Room_00011857","Television","Yes",2007,,"N/A","Panasonic","th-42px57u","Yes","LCD","Flat","FHD (1080P)","Primary",46.0000,,215.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","N/A","Office_2","Office"
"Appliance_00020006","SITE_00610","Room_00011870","Television","No",,"Unknown","Unknown","Toshiba","Unknown","No","LCD","Flat","FHD (1080P)","Primary",21.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"No","Cannot access nameplate or plug","Bedroom_2","Bedroom"
"Appliance_00019658","SITE_00611","Room_00011879","Television","No",,"Unknown","Unknown","Sharp","Unknown","Yes","LCD","Flat","Unknown","Primary",40.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"Unknown","Precarious.","Bedroom_2","Bedroom"
"Appliance_00019659","SITE_00611","Room_00011872","Television","Yes",2011,,"N/A","Mitsubishi","WD-73740","No","Tube (CRT and internal or rear projector)","Flat","FHD (1080P)","Secondary",73.0000,,214.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019717","SITE_00612","Room_00011893","Television","No",,"Unknown","Unknown","Samsung","Unknown","Yes","Unknown","Flat","FHD (1080P)","Primary",40.0000,,,"Could not meter","Yes","Crestview Cable",2014,,"Full","No","No","Unknown",0,,2,,"Yes","Could not access name plate","Living Room_1","Living Room"
"Appliance_00019670","SITE_00613","Room_00011909","Television","No",,"Unknown","LSPFXAL0902597","Vizio","Vf552xvt","Yes","LED LCD","Flat","FHD (1080P)","Primary",55.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","Yes",1,,2,,"Yes","Couldn't access plug","Family Room_1","Family Room"
"Appliance_00019225","SITE_00614","Room_00011923","Television","No",,"Unknown","2090717337","Sharp","Of-39le440u","Yes","LCD","Flat","FHD (1080P)","Primary",39.0000,,28.0000,,"Yes","Charter/Spectrum",2014,,"Full","Yes","No","No",0,,1,,"Yes","N/A","Living Room_2","Living Room"
"Appliance_00019666","SITE_00615","Room_00011939","Television","No",,"Unknown","Unknown","Sharp","Unknown","Yes","Unknown","Flat","Unknown","Primary",58.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","Yes",1,,1,,"Yes","Tv mounted to wall- cords behind entertainment center","Family Room_1","Family Room"
"Appliance_00019676","SITE_00616","Room_00011944","Television","No",,"Unknown","ALXS3CMS200569L","Samsung","LN52A550P3FXZA","No","LCD","Flat","FHD (1080P)","Primary",52.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"Yes","Can't meter. Mounted on wall","Living Room_1","Living Room"
"Appliance_00019677","SITE_00616","Room_00011956","Television","No",,"Unknown","Unknown","Vizio","Unknown","Yes","LCD","Flat","FHD (1080P)","No",42.0000,,110.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"Yes","Mounted on wall, no access to model plate","Bedroom_3","Bedroom"
"Appliance_00019686","SITE_00616","Room_00011964","Television","No",,"Unknown","203RMYA6Y610","LG","Unknown","Unknown","Unknown","Flat","Unknown","Secondary",46.0000,,43.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Unknown",0,,1,,"Yes","N/A","Basement_2","Basement"
"Appliance_00019652","SITE_00617","Room_00011971","Television","No",,"Unknown","110859106","Sharp","LC-42SV49U","Yes","LCD","Flat","FHD (1080P)","Secondary",42.0000,,110.0000,,"Yes","Dish Network",2010,,"Full","Yes","No","No",0,,2,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019653","SITE_00617","Room_00011974","Television","Yes",2003,,"N/A","Mitsubishi","WS-65611","No","Projector (Non-CRT)","Flat","Standard Definition","Secondary",64.0000,,220.0000,,"Yes","Dish Network",2010,,"Small","No","No","No",0,,1,,"Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00019654","SITE_00617","Room_00011976","Television","No",,"Unknown","6861M21203365","Westinghouse","EW32S3PW","Yes","LED","Flat","High Definition (720P)","Primary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,0,,"Unknown","Cant get wattage, plugged in behind dresser","Bedroom_2","Bedroom"
"Appliance_00019615","SITE_00617","Room_00011968","Television","No",,"Unknown","Unknown","Insignia","NS-32L120A13","Yes","LCD","Flat","High Definition (720P)","Unknown",32.0000,,52.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Unknown","N/A","Other_2","Other"
"Appliance_00019689","SITE_00618","Room_00011981","Television","No",,"Unknown","Unknown","RCA","Unknown","Unknown","Tube (CRT and internal or rear projector)","Flat","Standard Definition","Secondary",20.0000,,48.3000,,"Yes","Dish Network",2010,,"Full","No","Unknown","No",0,,1,,"Unknown","So heavy, cant move for nameplate","Family Room_1","Family Room"
"Appliance_00019690","SITE_00618","Room_00011983","Television","Yes",2007,,"N/A","Sony","Kdl-32s3000","Yes","LCD","Flat","High Definition (720P)","Primary",32.0000,,154.7000,,"Yes","Dish Network",2010,,"Full","No","Yes","No",0,,1,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00019696","SITE_00618","Room_00011988","Television","No",2015,,"N/A","Element","Elefw195","No","LCD","Flat","FHD (1080P)","Secondary",18.0000,,14.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","N/A","Bedroom_6","Bedroom"
"Appliance_00019715","SITE_00619","Room_00011998","Television","No",,"Unknown","C22E325BKK0667","Sceptre","E32","Yes","LCD","Flat","High Definition (720P)","Primary",32.0000,,42.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019716","SITE_00619","Room_00012006","Television","Yes",2007,,"N/A","LG","32LB4D - UA","Yes","LCD","Flat","High Definition (720P)","Secondary",32.0000,,90.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","N/A","Family Room_1","Family Room"
"Appliance_00019639","SITE_00620","Room_00012015","Television","No",,"Unknown","LAIANLDN4302270","Vizio","E320i-a0","Yes","LED","Flat","High Definition (720P)","Primary",32.0000,,34.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,2,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019589","SITE_00621","Room_00012021","Television","No",,"Unknown","Unknown","Samsung","LN32C450E1D","Yes","LCD","Flat","High Definition (720P)","Secondary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","Not plugged in","Family Room_1","Family Room"
"Appliance_00019590","SITE_00621","Room_00012025","Television","No",,"Unknown","Unknown","Sony","KDL40VE5","Yes","LCD","Flat","FHD (1080P)","Primary",40.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00019591","SITE_00621","Room_00012030","Television","No",,"Unknown","Unknown","Zenith","Unknown","No","Tube (CRT and internal or rear projector)","Curved","Standard Definition","No",30.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","N/A","Bedroom_3","Bedroom"
"Appliance_00019587","SITE_00622","Room_00012031","Television","Yes",2006,,"N/A","Sony","KDL32S20L1","Yes","LCD","Flat","High Definition (720P)","Primary",32.0000,,131.0000,,"Unknown","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Unknown","N/A","Garage_2","Garage"
"Appliance_00019588","SITE_00622","Room_00012033","Television","Yes",2012,,"N/A","Samsung","UN26EH4000F","Yes","LED","Flat","High Definition (720P)","Primary",26.0000,,28.0000,,"Unknown","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","N/A","Bedroom_6","Bedroom"
"Appliance_00019598","SITE_00622","Room_00012035","Television","Yes",2006,,"N/A","Sony","KDL-40S20L1","Yes","LCD","Flat","High Definition (720P)","Secondary",40.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Unknown","Plug goes into wall","Bedroom_1","Bedroom"
"Appliance_00019599","SITE_00622","Room_00012038","Television","Yes",2012,,"N/A","Samsung","UN26EH4000F","Yes","LED","Flat","High Definition (720P)","Primary",26.0000,,25.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",1,,0,,"No","N/A","Kitchen_1","Kitchen"
"Appliance_00019600","SITE_00622","Room_00012041","Television","Yes",2010,,"N/A","Sony","KDL-46EX701","Yes","LED","Flat","FHD (1080P)","Secondary",46.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,0,,"Unknown","Plug inaccessible","Bedroom_2","Bedroom"
"Appliance_00019601","SITE_00622","Room_00012045","Television","No",,"Unknown","Unknown","Sony","Bravia","Unknown","LCD","Flat","Unknown","Unknown",,"Unknown",,"Could not meter","Unknown","N/A",,"N/A","N/A","N/A","N/A","Unknown",,"Unknown",,"Unknown","Unknown","Label not accessible","Living Room_1","Living Room"
"Appliance_00019616","SITE_00623","Room_00012051","Television","No",,"Unknown","LTYWNQLP4054049","Vizio","E390-A1","No","LED","Flat","FHD (1080P)","Primary",39.0000,,46.0000,,"Yes","Dish Network",2015,,"Full","Unknown","Unknown","No",0,,2,,"No","N/A","Family Room_1","Family Room"
"Appliance_00019628","SITE_00624","Room_00012066","Television","No",,"Unknown","Unknown","Sony","Unknown","Yes","LCD","Flat","High Definition (720P)","Primary",40.0000,,90.2300,,"Yes","Charter/Spectrum",2012,,"Full","Yes","No","No",0,,1,,"Yes","Inaccessible","Living Room_1","Living Room"
"Appliance_00019629","SITE_00624","Room_00012069","Television","Yes",2014,,"N/A","HiSense","40H5","No","LED","Flat","High Definition (720P)","Secondary",40.0000,,75.0000,,"Yes","Charter/Spectrum",2012,,"Full","Yes","Yes","No",0,,1,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00019649","SITE_00624","Room_00012075","Television","Yes",2015,,"N/A","RCA","Led32g30rq","Yes","LED","Flat","High Definition (720P)","Secondary",32.0000,,,"Could not meter","Yes","Charter/Spectrum",,"Unknown","Full","No","Unknown","No",0,,0,,"Yes","N/A","Bedroom_6","Bedroom"
"Appliance_00019226","SITE_00625","Room_00012081","Television","No",,"Unknown","Unknown","RCA","Unknown","Unknown","LCD","Flat","FHD (1080P)","Primary",61.0000,,161.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,0,,"No","N/A","Bedroom_3","Bedroom"
"Appliance_00019675","SITE_00626","Room_00012088","Television","No",,"Unknown","LASAHLBL3201112","Vizio","E320VL","Yes","LCD","Flat","High Definition (720P)","Primary",31.0000,,65.0000,,"Yes","Directv",2016,,"Full","No","No","No",0,,1,,"Yes","N/A","Family Room_1","Family Room"
"Appliance_00019614","SITE_00628","Room_00012108","Television","No",,"Unknown","LTBWSEAR2102322","Vizio","D43-C1","Yes","LED","Flat","FHD (1080P)","Primary",43.0000,,31.0000,,"Yes","Directv",2016,,"Full","No","Unknown","No",0,,0,,"No","N/A","Living Room_1","Living Room"
"Appliance_00019656","SITE_00629","Room_00012117","Television","No",,"Unknown","LTYWNQBN5055950","Vizio","E390-A1","No","LCD","Flat","High Definition (720P)","Primary",39.0000,,,"Could not meter","Yes","Directv",2012,,"Full","No","No","No",0,,1,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00019633","SITE_00630","Room_00012123","Television","No",,"Unknown","030R3CPGA28103K","Samsung","un24h4000af","No","LCD","Flat","FHD (1080P)","Secondary",28.0000,,17.7100,,"Yes","Bend Broadband",,"Unknown","Small","No","No","No",0,,0,,"Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00019634","SITE_00630","Room_00012129","Television","No",,"Unknown","Unknown","Vizio","Unknown","Yes","LCD","Flat","High Definition (720P)","Primary",30.0000,,58.6200,,"Yes","Bend Broadband",,"Unknown","Full","Yes","No","No",0,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019710","SITE_00631","Room_00012140","Television","Yes",2015,,"N/A","LG","55lf6000","Yes","LED","Flat","FHD (1080P)","All used about the same",55.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"Yes","Do not have watt meter","Living Room_1","Living Room"
"Appliance_00019711","SITE_00631","Room_00012140","Television","Yes",2017,,"N/A","Samsung","Un55ku6290f","Yes","LED","Flat","FHD (1080P)","All used about the same",55.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,0,,"Yes","Don't have watt meter","Living Room_1","Living Room"
"Appliance_00019712","SITE_00631","Room_00012142","Television","Yes",2009,,"N/A","Samsung","Ln32b360c5dxza","Yes","LED","Flat","High Definition (720P)","Secondary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","N/A","Bedroom_2","Bedroom"
"Appliance_00019713","SITE_00631","Room_00012143","Television","Yes",2013,,"N/A","Sansui","Sledvd244","No","LED","Flat","High Definition (720P)","Secondary",24.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"No","N/A","Bedroom_3","Bedroom"
"Appliance_00019678","SITE_00632","Room_00012146","Television","No",,"Unknown","LAQKJWAM1901155","Vizio","M420SV","Yes","LED","Flat","FHD (1080P)","Secondary",42.0000,,100.0000,,"Yes","Directv",2015,,"Small","No","No","Yes",0,,3,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019679","SITE_00632","Room_00012152","Television","Yes",2000,,"N/A","Sony","KV-27S42","No","Tube (CRT and internal or rear projector)","Curved","Standard Definition","No",27.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","Power meter not working","Bedroom_2","Bedroom"
"Appliance_00019680","SITE_00632","Room_00012153","Television","No",,"Unknown","LAUKJWAM1200849","Vizio","M420S","Yes","LED","Flat","FHD (1080P)","Primary",42.0000,,,"Could not meter","Yes","Directv",2016,,"Full","No","No","Yes",1,,1,,"Yes","N/A","Bedroom_3","Bedroom"
"Appliance_00019604","SITE_00633","Room_00012163","Television","Yes",2013,,"N/A","LG","29ln4510","Yes","LCD","Flat","High Definition (720P)","Primary",29.0000,,,"Could not meter","Yes","Dish Network",2014,,"Full","No","No","No",0,,1,,"Unknown","N/A","Living Room_1","Living Room"
"Appliance_00019605","SITE_00633","Room_00012165","Television","No",,"Unknown","Unknown","Konka","Unknown","No","Tube (CRT and internal or rear projector)","Flat","Standard Definition","Secondary",15.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,2,,"No","N/A","Bedroom_1","Bedroom"
"Appliance_00019606","SITE_00633","Room_00012166","Television","No",,"Unknown","Unknown","Sony","Unknown","No","Tube (CRT and internal or rear projector)","Flat","Standard Definition","Secondary",27.0000,,,"Could not meter","Yes","Dish Network",2014,,"Full","No","No","No",0,,1,,"Unknown","Could not access power cord or nameplate","Bedroom_2","Bedroom"
"Appliance_00019635","SITE_00634","Room_00012177","Television","Yes",1996,,"N/A","Magnavox","Ps1953 C121","Unknown","Projector (Non-CRT)","Flat","Standard Definition","Secondary",20.0000,,45.0000,,"Yes","Dish Network",2016,,"Small","Unknown","Yes","No",0,,0,,"No","N/A","Bedroom_6","Bedroom"
"Appliance_00019630","SITE_00634","Room_00012171","Television","No",,"Unknown","LASAHCBL2303726","Vizio","e550vl","No","LCD","Flat","FHD (1080P)","Primary",60.0000,,130.0000,,"Yes","Dish Network",2014,,"Full","Yes","No","No",0,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019657","SITE_00635","Room_00012181","Television","Yes",2009,,"N/A","LG","32LH30-UA","No","LCD","Flat","High Definition (720P)","Primary",32.0000,,75.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"No","N/A","Living Room_1","Living Room"
"Appliance_00019227","SITE_00636","Room_00012203","Television","Yes",2007,,"N/A","Sony","Kdl-46xbr4","Yes","LCD","Flat","FHD (1080P)","Primary",46.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"Yes","Cant access cords","Living Room_1","Living Room"
"Appliance_00019610","SITE_00637","Room_00012218","Television","Yes",2011,,"N/A","LG","55lk520-ua","Yes","LCD","Flat","FHD (1080P)","Tertiary",55.0000,,120.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,1,,"Yes","N/A","Basement_1","Basement"
"Appliance_00019611","SITE_00637","Room_00012225","Television","Yes",2015,,"N/A","Samsung","Un65ju6500","Yes","LED","Flat","UHD (4080P)","Primary",65.0000,,118.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,1,,"Yes","N/A","Family Room_1","Family Room"
"Appliance_00019602","SITE_00637","Room_00012212","Television","Yes",2013,,"N/A","Samsung","Un32eh4003f","Yes","LCD","Flat","High Definition (720P)","Secondary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","Could not access power cord","Bedroom_6","Bedroom"
"Appliance_00019603","SITE_00637","Room_00012215","Television","No",,"Unknown","Unknown","Emerson","Unknown","Unknown","LCD","Flat","Unknown","Secondary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","Unknown",0,,0,,"Unknown","N/A","Bedroom_7","Bedroom"
"Appliance_00019228","SITE_00638","Room_00012229","Television","Yes",2012,,"N/A","LG","55ls4500","Yes","LED","Flat","FHD (1080P)","Primary",55.0000,,91.6000,,"Yes","Dish Network",2011,,"Full","Yes","Yes","No",0,,1,,"Yes","N/A","Living Room_1","Living Room"
"Appliance_00019229","SITE_00639","Room_00012246","Television","Yes",2012,,"N/A","Samsung","UN46EH5300","No","LED","Flat","FHD (1080P)","Primary",46.0000,,57.0000,,"Yes","Directv",2015,,"Small","No","No","No",1,,2,,"No","N/A","Living Room_1","Living Room"
"Appliance_00019230","SITE_00640","Room_00012260","Television","Yes",2012,,"N/A","Samsung","Un32eh4050f","Yes","LED","Flat","High Definition (720P)","Primary",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"Yes","Cant access power strip, behind heavytv stand","Living Room_1","Living Room"
"Appliance_00019609","SITE_00641","Room_00012267","Television","Yes",2014,,"N/A","Samsung","Un46eh5300f","Yes","LED","Flat","FHD (1080P)","Primary",46.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","Yes",0,,2,,"Yes","Cannot access power outlet","Living Room_1","Living Room"
"Appliance_00019583","SITE_00642","Room_00012277","Television","Yes",2010,,"N/A","Panasonic","TCP42G25","Yes","LCD","Flat","FHD (1080P)","All used about the same",42.0000,,,"Could not meter","Yes","Bend Broadband",2010,,"Full","Yes","Unknown","No",1,,2,,"Unknown","Can't access plug","Living Room_1","Living Room"
