"PK_Envelope_ID","CK_SiteID","Construction Type","Framing Type","Foundation Type","Total Building Levels","Building Level","Building Level_notes","Area","Area_notes","Average Height","Average Height_notes","Volume","Volume_notes"
"Envelope_00007196","SITE_01923","Frame","Wood","> 90% Conditioned Basement","2.5",2,,1155.8000,,8.9000,,10286.0000,
"Envelope_00007197","SITE_01923","Frame","Wood","> 90% Conditioned Basement","2.5",3,,1144.0000,,8.0000,,9152.0000,
"Envelope_00007188","SITE_01924","Frame","Wood","> 90% Crawlspace","1",1,,612.5000,,7.5000,,4594.0000,
"Envelope_00007116","SITE_01925","Frame","Wood","> 90% Crawlspace","2",1,,1486.1000,,9.0000,,13374.0000,
"Envelope_00007117","SITE_01925","Frame","Wood","> 90% Crawlspace","2",2,,1104.1000,,11.3300,,12508.0000,
"Envelope_00007094","SITE_01926","Frame","Wood","> 90% Crawlspace","1",1,,1396.0000,,8.0000,,11168.0000,
"Envelope_00007119","SITE_01927","Frame","Wood","> 90% Crawlspace","1.5",1,,1353.8000,,8.1300,,11003.0000,
"Envelope_00007120","SITE_01927","Frame","Wood","> 90% Crawlspace","1.5",2,,463.5000,,5.5000,,2714.0000,
"Envelope_00007623","SITE_01928","Frame","Wood","Mixed Crawlspace and Slab","2.5",1,,1196.0000,,7.9100,,9460.0000,
"Envelope_00007624","SITE_01928","Frame","Wood","Mixed Crawlspace and Slab","2.5",2,,2085.0000,,7.7800,,16222.0000,
"Envelope_00007625","SITE_01928","Frame","Wood","Mixed Crawlspace and Slab","2.5",3,,804.0000,,6.5000,,5226.0000,
"Envelope_00007578","SITE_01929","Frame","Wood","> 90% Crawlspace","1.5",1,,2234.8000,,8.8000,,19679.0000,
"Envelope_00007579","SITE_01929","Frame","Wood","> 90% Crawlspace","1.5",2,,1475.3000,,8.2500,,12243.0000,
"Envelope_00007483","SITE_01930","Frame","Wood","> 90% Crawlspace","1",1,,720.0000,,8.0000,,5760.0000,
"Envelope_00007568","SITE_01931","Frame","Wood","> 90% Crawlspace","1",1,,2011.0000,,9.0000,,18099.0000,
"Envelope_00007597","SITE_01932","Frame","Wood","> 90% Conditioned Basement","1.5",1,,1078.0000,,8.0000,,8624.0000,
"Envelope_00007598","SITE_01932","Frame","Wood","> 90% Conditioned Basement","1.5",2,,1414.0000,,9.6300,,14089.0000,
"Envelope_00007689","SITE_01933","Frame","Wood","> 90% Crawlspace","2",1,,524.0000,,8.0000,,4192.0000,
"Envelope_00007690","SITE_01933","Frame","Wood","> 90% Crawlspace","2",2,,588.0000,,8.0000,,4704.0000,
"Envelope_00007558","SITE_01934","Frame","Wood","Mixed Crawlspace and Conditioned Basement","2",1,,900.0000,,9.0000,,8100.0000,
"Envelope_00007559","SITE_01934","Frame","Wood","Mixed Crawlspace and Conditioned Basement","2",2,,1390.0000,,7.6000,,10564.0000,
"Envelope_00007621","SITE_01935","Frame","Wood","> 90% Slab","2",1,,848.0000,,10.2500,,6411.0000,
"Envelope_00007622","SITE_01935","Frame","Wood","> 90% Slab","2",2,,687.0000,,11.2000,,7884.0000,
"Envelope_00007486","SITE_01936","Frame","Wood","> 90% Crawlspace","1",1,,1408.0000,,9.9000,,13964.0000,
"Envelope_00007519","SITE_01937","Frame","Wood","> 90% Crawlspace","1",1,,988.0000,,7.5000,,7410.0000,
"Envelope_00002975","SITE_01938","Frame","Wood","> 90% Conditioned Basement","2",1,,1022.0000,,7.2000,,7358.0000,
"Envelope_00002976","SITE_01938","Frame","Wood","> 90% Conditioned Basement","2",2,,1318.8000,,9.2000,,12133.0000,
"Envelope_00002977","SITE_01938","Frame","Wood","> 90% Conditioned Basement","2",3,,658.0000,,8.4000,,5527.0000,
"Envelope_00007580","SITE_01939","Frame","Wood","> 90% Crawlspace","2",1,,664.1000,,11.6300,,7214.0000,
"Envelope_00007581","SITE_01939","Frame","Wood","> 90% Crawlspace","2",2,,1033.8000,,8.0000,,8270.0000,
"Envelope_00007450","SITE_01940","Frame","Wood","> 90% Crawlspace","1",1,,1554.0000,,7.7100,,11981.0000,
"Envelope_00007556","SITE_01941","Frame","Wood","> 90% Crawlspace","1",1,,1337.0000,,8.6000,,11840.0000,
"Envelope_00007695","SITE_01942","Frame","Wood","> 90% Crawlspace","2",1,,828.0000,,9.0000,,7452.0000,
"Envelope_00007696","SITE_01942","Frame","Wood","> 90% Crawlspace","2",2,,1296.0000,,8.0000,,10368.0000,
"Envelope_00007554","SITE_01943","Frame","Wood","> 90% Crawlspace","2",1,,2500.0000,,10.0000,,25000.0000,
"Envelope_00007511","SITE_01944","Frame","Wood","> 90% Crawlspace","2",1,,704.0000,,8.0000,,5632.0000,
"Envelope_00007512","SITE_01944","Frame","Wood","> 90% Crawlspace","2",2,,704.0000,,8.0000,,5632.0000,
"Envelope_00007465","SITE_01945","Frame","Wood","> 90% Crawlspace","1",1,,1160.0000,,8.1000,,9396.0000,
"Envelope_00007484","SITE_01946","Frame","Wood","> 90% Unconditioned Basement","2",1,,1636.0000,,7.5000,,12270.0000,
"Envelope_00007485","SITE_01946","Frame","Wood","> 90% Unconditioned Basement","2",2,,576.0000,,8.0000,,4608.0000,
"Envelope_00007451","SITE_01947","Frame","Wood","> 90% Slab","1",1,,1470.0000,,8.7500,,12773.0000,
"Envelope_00007520","SITE_01948","Frame","Wood","> 90% Crawlspace","1",1,,1322.0000,,7.5000,,9915.0000,
"Envelope_00007627","SITE_01949","Frame","Wood","> 90% Conditioned Basement","1.5",1,,1196.0000,,7.6700,,9173.0000,
"Envelope_00007628","SITE_01949","Frame","Wood","> 90% Conditioned Basement","1.5",2,,1223.0000,,7.6700,,9380.0000,
"Envelope_00007592","SITE_01950","Frame","Wood","> 90% Crawlspace","1",1,,1908.0000,,9.0000,,17172.0000,
"Envelope_00007606","SITE_01951","Frame","Wood","> 90% Crawlspace","1",1,,1092.0000,,8.5000,,9282.0000,
"Envelope_00007510","SITE_01952","Frame","Wood","> 90% Slab","1",1,,1597.0000,,8.0000,,12776.0000,
"Envelope_00007577","SITE_01953","Frame","Wood","> 90% Crawlspace","1",1,,1394.0000,,9.0800,,12669.0000,
"Envelope_00007626","SITE_01954","Frame","Wood","> 90% Crawlspace","1",1,,864.0000,,7.7800,,6722.0000,
"Envelope_00007454","SITE_01955","Frame","Wood","> 90% Crawlspace","2",1,,1112.0000,,8.0000,,8896.0000,
"Envelope_00007455","SITE_01955","Frame","Wood","> 90% Crawlspace","2",2,,1280.0000,,8.1000,,10368.0000,
"Envelope_00007509","SITE_01956","Frame","Wood","> 90% Slab","1",1,,714.0000,,9.0000,,7020.0000,
"Envelope_00007892","SITE_01957","Frame","Wood","> 90% Crawlspace","2",1,,1122.0000,,7.6000,,8527.0000,
"Envelope_00007893","SITE_01957","Frame","Wood","> 90% Crawlspace","2",2,,1122.0000,,7.6000,,8527.0000,
"Envelope_00007456","SITE_01958","Frame","Steel","> 90% Crawlspace","1",1,,1650.0000,,8.9200,,14719.0000,
"Envelope_00007515","SITE_01959","Frame","Wood","> 90% Crawlspace","2",1,,1027.0000,,9.0000,,9243.0000,
"Envelope_00007516","SITE_01959","Frame","Wood","> 90% Crawlspace","2",2,,1342.0000,,7.0000,,7574.0000,
"Envelope_00007495","SITE_01960","Frame","Wood","> 90% Crawlspace","1",1,,1587.0000,,8.0000,,12696.0000,
"Envelope_00007487","SITE_01961","Frame","Wood","> 90% Crawlspace","2",1,,1144.0000,,9.0000,,10296.0000,
"Envelope_00007488","SITE_01961","Frame","Wood","> 90% Crawlspace","2",2,,1544.0000,,8.0000,,12352.0000,
"Envelope_00007600","SITE_01962","Frame","Wood","> 90% Crawlspace","1",1,,1752.0000,,8.3000,,14117.0000,
"Envelope_00007567","SITE_01963","Frame","Wood","> 90% Crawlspace","1",1,,1819.5000,,7.6000,,13828.0000,
"Envelope_00007506","SITE_01964","Frame","Wood","> 90% Crawlspace","2",1,,1504.0000,,9.0000,,13536.0000,
"Envelope_00007507","SITE_01964","Frame","Wood","> 90% Crawlspace","2",2,,914.0000,,8.0000,,7312.0000,
"Envelope_00007557","SITE_01965","Frame","Wood","> 90% Crawlspace","1",1,,920.0000,,8.0000,,7360.0000,
"Envelope_00007545","SITE_01966","Frame","Wood","Mixed Crawlspace and Slab","1",1,,812.0000,,7.8300,,6358.0000,
"Envelope_00007596","SITE_01967","Frame","Wood","> 90% Crawlspace","1",1,,1716.0000,,8.5000,,14586.0000,
"Envelope_00007564","SITE_01968","Frame","Wood","Mixed Crawlspace and Conditioned Basement","2.5",1,,512.0000,,8.6000,,4403.0000,
"Envelope_00007565","SITE_01968","Frame","Wood","Mixed Crawlspace and Conditioned Basement","2.5",2,,1316.0000,,7.6000,,10002.0000,
"Envelope_00007566","SITE_01968","Frame","Wood","Mixed Crawlspace and Conditioned Basement","2.5",3,,592.0000,,7.6000,,4499.0000,
"Envelope_00007473","SITE_01969","Frame","Wood","> 90% Slab","2",1,,1368.0000,,9.0000,,12312.0000,
"Envelope_00007474","SITE_01969","Frame","Wood","> 90% Slab","2",2,,2096.0000,,10.7500,,21192.0000,
"Envelope_00007459","SITE_01970","Frame","Wood","> 90% Crawlspace","1",1,,1664.0000,,8.3400,,13955.0000,
"Envelope_00007513","SITE_01971","Frame","Wood","> 90% Crawlspace","2",1,,1558.0000,,8.0000,,12464.0000,
"Envelope_00007514","SITE_01971","Frame","Wood","> 90% Crawlspace","2",2,,936.0000,,8.0000,,7488.0000,
"Envelope_00007587","SITE_01972","Frame","Wood","> 90% Crawlspace","1",1,,850.5000,,7.5000,,6379.0000,
"Envelope_00007494","SITE_01973","Frame","Wood","> 90% Crawlspace","1",1,,1010.0000,,8.0000,,8080.0000,
"Envelope_00007524","SITE_01974","Frame","Wood","Mixed Crawlspace and Slab","2",1,,832.0000,,10.0000,,8320.0000,
"Envelope_00007525","SITE_01974","Frame","Wood","Mixed Crawlspace and Slab","2",2,,1152.0000,,10.0000,,11520.0000,
"Envelope_00007589","SITE_01975","Frame","Wood","> 90% Crawlspace","1",1,,1366.0000,,7.7500,,10587.0000,
"Envelope_00007068","SITE_01976","Frame","Wood","> 90% Crawlspace","2",1,,871.0000,,7.5000,,6533.0000,
