"PK_Envelope_ID","CK_SiteID","Wall Type","Wall Sub-Type","Wall Area","Wall Area_notes","Wall Framing Spacing","Wall Framing Spacing_notes","Wall Framing Size","Wall Framing Material","Wall Thickness","Furred Wall","Furred Wall Insulated","Furred Wall Insulation Type","Furred Wall Insulation Thickness","Furred Wall Insulation Thickness_notes","Furred Wall Insulation Condition","Furred Wall Insulation Condition_notes","Wall Cavity Insulated","Wall Cavity Insulation Type 1","Wall Cavity Insulation Thickness 1","Wall Cavity Insulation Thickness 1_notes","Wall Cavity Insulation Condition 1","Wall Cavity Insulation Condition 1_notes","Wall Cavity Insulation Type 2","Wall Cavity Insulation Thickness 2","Wall Cavity Insulation Thickness 2_notes","Wall Cavity Insulation Condition 2","Wall Cavity Insulation Condition 2_notes","Wall Cavity Insulation Type 3","Wall Cavity Insulation Thickness 3","Wall Cavity Insulation Thickness 3_notes","Wall Cavity Insulation Condition 3","Wall Cavity Insulation Condition 3_notes","Wall Exterior Insulated","Wall Exterior Insulation Type 1","Wall Exterior Insulation Thickness 1","Wall Exterior Insulation Thickness 1_notes","Wall Exterior Insulation Condition 1","Wall Exterior Insulation Condition 1_notes","Wall Exterior Insulation Type 2","Wall Exterior Insulation Thickness 2","Wall Exterior Insulation Thickness 2_notes","Wall Exterior Insulation Condition 2","Wall Exterior Insulation Condition 2_notes","Wall Exterior Insulation Type 3","Wall Exterior Insulation Thickness 3","Wall Exterior Insulation Thickness 3_notes","Wall Exterior Insulation Condition 3","Wall Exterior Insulation Condition 3_notes","Wall Cavity Insulation R-Value","Wall Cavity Insulation R-Value_notes","Wall Continuous Insulation R-Value","Wall Continuous Insulation R-Value_notes","Basement Walls - Depth Below Grade","Basement Walls - Depth Below Grade_notes","Basement Walls - Height Above Grade","Basement Walls - Height Above Grade_notes","Basement Walls - Percent Below Grade","Basement Walls - Percent Below Grade_notes","Basement Wall Below Grade U-Value","Basement Wall Below Grade U-Value_notes","Basement Wall Above Grade U-Value","Basement Wall Above Grade U-Value_notes","Wall U-Value","Wall U-Value_notes","Wall Heat Loss Rate (UA)","Wall Heat Loss Rate (UA)_notes","Wall Notes"
"Envelope_00001839","BLDG_00031","Framed 2x4","N/A",3666.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",3.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",10.2300,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.1022,,374.5422,,"N/A"
"Envelope_00002409","BLDG_00032","Framed 2x4","N/A",6900.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",2.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",8.5300,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.1121,,773.2550,,"N/A"
"Envelope_00012096","BLDG_00034","Masonry (Basement)","Poured Concrete",350.0000,,,"N/A","N/A","N/A","N/A","Unknown","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,8.0000,,0.0000,,1.0000,,0.1900,,,"Unknown",,"Accounted for in Foundation / Floor UA (Buffer Space)",,"Accounted for in Foundation / Floor UA (Buffer Space)","N/A"
"Envelope_00002297","BLDG_00034","Framed 2x4","N/A",3484.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.1272,"Estimated based on homes of similar vintage",443.1620,,"N/A"
"Envelope_00002328","BLDG_00035","Framed 2x6","N/A",7755.0000,,16.0000,,"2x6","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",18.7600,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.0664,,514.6301,,"N/A"
"Envelope_00002324","BLDG_00037","Framed 2x6","N/A",16272.0000,,24.0000,,"2x6","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",18.7600,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.0664,,1079.8273,,"N/A"
"Envelope_00002347","BLDG_00037","Framed 2x6","N/A",5707.0000,,16.0000,,"2x6","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",5.5000,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",18.7600,,0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.0664,,378.7226,,"Visual inspection shows yellow fiberglass."
"Envelope_00002330","BLDG_00038","Framed 2x4","N/A",2949.0000,,16.0000,,"2x4","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Fiberglass batts",3.5000,,0.9000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",11.9400,,,"Unknown",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.1272,"Estimated based on homes of similar vintage",375.1104,,"N/A"
"Envelope_00002327","BLDG_00039","Masonry","Unknown",3424.0000,,,"N/A","N/A","N/A","Unknown","Unknown","N/A","N/A",,"N/A",,"N/A","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",,"Unknown",,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",0.5322,"Estimated based on homes of similar vintage",1822.3617,,"N/A"
"Envelope_00002344","BLDG_00040","Framed 2x8","N/A",10981.0000,,16.0000,,"2x8","Wood","N/A","N/A","N/A","N/A",,"N/A",,"N/A","Yes","Unknown batts",7.2500,,,"Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","No","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0000,,,"N/A",,"N/A",,"N/A",,"N/A",,"N/A",,"Exclude",,"Exclude","N/A"
