DB_SiteID,PK_BuildingID,Region,County,Electric Utility,Gas Utility,Is electric BPA utility,City,State,Zip,Year Built,Site Visit Date,Heating Zone,Cooling Zone,N Floors,In MF Complex?,Qty Buildings in Complex,Qty Studio Units,Qty One-Bedroom Units,Qty Two-Bedroom Units,Qty Three-Bedroom Units,Qty Four-Bedroom Units,Total Units in Building,Limited to 55 or Older?,Limited to Low Income?,Conditioned Area,Construction,Framing Type,Foundation Type,Total Ceiling Area,Total Ceiling U-Value,Ceiling UA,Total Wall Area,Total Wall U-Value,Wall UA,Total Floor Area,Total Floor U-Value,Floor UA,Whole House UA,Annual Electric Usage (kWh),Annual Gas Usage (Therms),Strata Territory,Strata Population Estimate,Area of Conditioned Common Space,Total Residential Floor Area,Total Non-Residential Floor Area,Total Conditioned Area,Total Window Area,Unit Window UA,Primary Heating System,Primary Heating Fuel,Primary Cooling System,Annual Residential Electric Usage (kWh),Annual Residential Gas Usage (Therms),Annual Building Electric Usage (kWh),Annual Building Gas Usage (Therms),Annual Electric Usage (kBtu),Annual Gas Usage (kBtu),Annual Residential Electric Usage (kBtu),Annual Residential Gas Usage (kBtu),Annual Building Electric Usage (kBtu),Annual Building Gas Usage (kBtu),Central Building Heat,Common Area Primary Heating System,Common Area Primary Heating Fuel,Common Area Primary Cooling System
BLDG_00447,BLDG_23968CE8-979B-2F4A-B258-A6B7C67E4D4E,Puget Sound,"King, WA",Seattle City Light,,Y,SEATTLE,WA,98122,2014,42621,1,1,6,Yes,4,0,84,12,10,0,106,No,Yes,,Rigid frame (concrete or steel),Concrete,Other,0,Exclude,Exclude,0,Exclude,Exclude,0,Exclude,Exclude,Exclude,588001.03201243863,N/A,SCL,2632.67659063625,8690,107338,0,116028,5871.22222222222,21.0477777777778,Electric Baseboard,Electric,N/A,5547.1795472871572,N/A,N/A,N/A,2006259.5212264406,N/A,18926.976615343781,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00448,BLDG_B1D9ACD8-12E9-3743-B5F0-C7B6B98FE3FD,Puget Sound,"King, WA",Puget Sound Energy,,N,BELLEVUE,WA,98008,1973,42632,1,1,3,Yes,20,0,0,6,0,0,6,No,No,,Frame,Wood,"> 90% Crawlspace ",2678,9.0552729450318004E-2,242.50020946795161,6723,8.3787180561374103E-2,563.30121491411808,2678,Exclude,Exclude,Exclude,94169.627605051981,N/A,PSE - King County,4650.536998,460,7610,0,8070,1146.58333333333,125.456944444444,Electric Baseboard,Electric,N/A,12086.693180999384,N/A,21649.468519055677,N/A,321306.76938843733,N/A,41239.797133569897,N/A,73867.986587017964,N/A,N/A,N/A,N/A,N/A
BLDG_00232,BLDG_9CEB33F2-191C-4863-8036-2CB9BB0D52A2,Western Montana,"Missoula, MT",Northwestern Energy,,N,MISSOULA,MT,59801,2013,42614,3,1,3,Yes,3,Unknown,Unknown,Unknown,Unknown,Unknown,30,No,No,,Frame over concrete slab,Wood,"> 90% Slab ",8161,1.9665683382497499E-2,160.49164208456207,13468,Exclude,Exclude,8161,Exclude,Exclude,Exclude,N/A,N/A,Non-BPA,1844.09420289855,3936,18947,0,22883,1238.75,15.6908333333333,Packaged HP,N/A,Packaged HP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00450,BLDG_FDB57FF5-2767-C44A-BFC1-BA463B4EEE39,Puget Sound,"King, WA",Puget Sound Energy,,N,KENT,WA,98032,Unknown,42640,1,1,3,Yes,9,0,0,2,2,0,18,No,No,,Frame over concrete slab,Wood,"> 90% Slab ",6840,2.52844500632111E-2,172.94563843236392,10078,5.3319114902692609E-2,537.3500399893361,6840,4.7172514619883039E-2,322.65999999999997,1985.7405534217,N/A,N/A,PSE - King County,4650.536998,0,20520,0,20520,1361.12125,52.9324930555556,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00451,BLDG_0C94E1E9-C230-7340-B9EA-600242E82302,Puget Sound,"Pierce, WA",City of Tacoma,Puget Sound Energy,Y,TACOMA,WA,98403,1952,42670,1,1,2,No,1,0,0,6,0,0,6,No,No,,Frame,Wood,"> 90% Crawlspace ",3467.5,2.5284450063211103E-2,87.673830594184494,4602.5,0.77094679514034348,3548.2826246334307,3467.5,0.23000000000000004,797.52500000000009,4627.5664552276148,N/A,695.71980318103203,BPA,2434.11525423729,839.5,6935,0,7774.5,510.75,32.3475,Furnace,Natural Gas,N/A,N/A,115.953300530172,N/A,N/A,N/A,69571.980318103204,N/A,11595.3300530172,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00452,BLDG_40A435FE-3216-7F4D-B061-889B85BD16C5,Puget Sound,"Pierce, WA",City of Tacoma,,Y,TACOMA,WA,98403,1929,42690,1,1,5,No,1,0,40,0,0,0,40,No,No,,Solid masonry,Masonry,"> 90% Conditioned Basement ",0,Exclude,Exclude,0,Exclude,Exclude,0,Exclude,Exclude,Exclude,N/A,N/A,BPA,2434.11525423729,2526,20525,0,23051,3816.11111111111,44.8397222222222,Electric Baseboard,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00354,BLDG_01FDE620-4D3A-CB40-96EE-6F998F1447C5,Western Oregon,"Lane, OR",Eugene Water and Electric Board,,Y,EUGENE,OR,97402,Unknown,42944,1,1,2,Yes,12,0,0,9,3,0,12,No,No,,Frame over concrete slab,Wood,"> 90% Slab ",8264,5.3040424764313462E-2,438.32607025228646,12978,Exclude,Exclude,8264,7.3065545218919351E-2,603.8136656891495,Exclude,117513.36551505307,N/A,BPA,2790.9630738523,0,11232,0,11232,1114.66666666667,35.2977777777778,Zonal Heat,Electric,N/A,9792.7804595877551,N/A,N/A,N/A,400955.60313736106,N/A,33412.966928113419,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00454,BLDG_A3F7616A-558B-1845-91C9-7B30E53EFCD4,Puget Sound,"Snohomish, WA",Snohomish PUD,,Y,EVERETT,WA,98203,1970,42625,1,1,3,No,1,0,43,0,0,0,43,No,No,,Frame,Wood,"> 90% Slab ",9117,4.4644995224437621E-2,407.02842146119781,23506,0.11225738333947416,2638.7220527776794,9117,6.9709114840408024E-2,635.53800000000001,5218.042779794433,N/A,N/A,SnoPUD,2183.10431154381,0,27351,0,27351,4044.09027777778,35.7384722222222,Stove/Fireplace,Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00455,BLDG_F378CAD8-E922-3445-85EE-2F4FE71276A2,Puget Sound,"King, WA",Seattle City Light,,Y,SEATTLE,WA,98107,2008,42628,1,1,8,No,1,Unknown,Unknown,Unknown,Unknown,Unknown,72,No,No,,Rigid frame (concrete or steel),Steel,Other,0,Exclude,Exclude,0,Exclude,Exclude,0,Exclude,Exclude,Exclude,286544.34951431351,N/A,SCL,2632.67659063625,6700,78000,26000,110700,14721.75,77.698125,Electric Baseboard,Electric,N/A,3979.7826321432431,N/A,N/A,N/A,977689.32054283761,N/A,13579.018340872744,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLDG_00457,BLDG_CF882A3E-7B9E-1245-A373-C6126F5C24E8,Puget Sound,"King, WA",Seattle City Light,,Y,SEATTLE,WA,98121,1992,42629,1,1,7,No,1,Unknown,Unknown,Unknown,Unknown,Unknown,72,No,No,,Frame over concrete slab,Wood,"> 90% Slab ",0,Exclude,Exclude,0,Exclude,Exclude,0,Exclude,Exclude,Exclude,373369.59341281455,8316.7461692554316,SCL,2632.67659063625,6055,49532,0,55587,6689,35.3030555555556,Electric Baseboard,Electric,N/A,5185.688797400202,115.510363461881,N/A,N/A,1273937.0527245232,831674.61692554317,17693.570176729489,11551.036346188101,N/A,N/A,N/A,N/A,N/A,N/A
