"PK_INTRW_BLDG_ID","CK_SiteID","Building Management","Vacancy Percent","Vacancy Percent_notes","Problems or Complaints: Tenant Comfort","Problems or Complaints: HVAC System","Problems or Complaints: Lighting Control","Problems or Complaints: Lighting","Problems or Complaints: Mold or Mildew","Problems or Complaints: Windows","Problems or Complaints: Describe Problems","Domestic Water Lead Pump Has VFD","Domestic Water Boost Pump","Domestic Water Pump Qty","Domestic Water Pump Qty_notes","Domestic Water Total Motor HP","Domestic Water Total Motor HP_notes","Domestic Water Pressure Setpoint","Domestic Water Pressure Setpoint_notes"
"BldgIntrvw_00000019","BLDG_00094","Tenant manager",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000028","BLDG_00095","Property management firm",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000123","BLDG_00096","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000316","BLDG_00097","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000324","BLDG_00099","Property management firm",0.0800,,"Yes","No","No","No","No","No","When it's hot ac might not cool enough","Unknown","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000016","BLDG_00102","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000078","BLDG_00105","Property management firm",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000057","BLDG_00106","Tenant manager",0.0500,,"No","No","Yes","Yes","No","No","Hud compliant mostly lighting. Old in efficient security lights throughout","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000105","BLDG_00107","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000111","BLDG_00108","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000367","BLDG_00240","Tenant manager",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000124","BLDG_00242","Unknown",0.0900,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000348","BLDG_00246","Tenant manager",,"Unknown","No","No","No","No","No","No","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000369","BLDG_00428","Property management firm",0.0000,,"No","No","No","No","No","No","Some water issues not in the same area","No","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000291","BLDG_00382","Property management firm",0.1300,,"No","No","No","No","No","No","N/A","N/A","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000343","BLDG_00384","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000435","BLDG_00385","Unknown",0.0000,,"No","No","No","No","No","No","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000083","BLDG_00386","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000005","BLDG_00389","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No",0,,,"Unknown",,"Unknown"
"BldgIntrvw_00000046","BLDG_00392","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,,"Unknown"
"BldgIntrvw_00000138","BLDG_00394","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000379","BLDG_00397","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000084","BLDG_00398","Tenant manager",0.0000,,"No","No","No","No","Yes","No","Issues with the roofs of the upstairs units - mold. Water leaking from hood range in some units.","Unknown","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000434","BLDG_00402","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000032","BLDG_00403","Unknown",0.0800,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000110","BLDG_00406","Property management firm",0.0000,,"Yes","No","No","No","No","No","Gets too hot or too cold","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000108","BLDG_00407","Property management firm",0.0000,,"Yes","No","No","No","No","No","Bad thermal envelope","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000424","BLDG_00455","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000296","BLDG_00517","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000260","BLDG_00515","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes",0,,0.0000,,0.0000,
"BldgIntrvw_00000418","BLDG_00462","Property management firm",0.0263,,"No","No","No","No","No","No","N/A","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000164","BLDG_00477","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000455","BLDG_00541","Owner",0.0000,,"No","No","No","No","No","No","No","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000363","BLDG_00457","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000281","BLDG_00454","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000036","BLDG_00445","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000190","BLDG_00437","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000271","BLDG_00474","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000137","BLDG_00244","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000313","BLDG_00448","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000141","BLDG_00470","Unknown",0.0000,,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000007","BLDG_00475","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000077","BLDG_00490","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","N/A",0,,0.0000,,0.0000,
"BldgIntrvw_00000062","BLDG_00447","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000444","BLDG_00469","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000417","BLDG_00487","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000048","BLDG_00491","Owner",0.0000,,"No","No","No","No","No","No","N/A","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000325","BLDG_00493","Owner",0.0000,,"No","No","No","No","No","No","N/A","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000269","BLDG_00232","Property management firm",0.0000,,"No","Yes","No","No","No","No","Package units have made exterior walls unsightly due to burning","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000236","BLDG_00441","Property management firm",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",,"No",,"Unknown",,"Unknown",,"Unknown"
"BldgIntrvw_00000249","BLDG_00198","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000305","BLDG_00307","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000173","BLDG_00206","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000044","BLDG_00208","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000352","BLDG_00197","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000182","BLDG_00479","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000254","BLDG_00209","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000404","BLDG_00482","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000045","BLDG_00270","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000302","BLDG_00314","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000043","BLDG_00267","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000109","BLDG_00274","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000061","BLDG_00285","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No",0,,0.0000,,0.0000,
"BldgIntrvw_00000347","BLDG_00280","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",0,,0.0000,,0.0000,
"BldgIntrvw_00000362","BLDG_00480","Unknown",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0,,0.0000,,0.0000,
