"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Large Unusual Load Type","Large Unusual Load Quantity","Large Unusual Load Quantity_notes","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Wifi Enabled","Well Pump Controlled by VSD","VSD Motor Input","VSD Motor Input_notes","VSD Motor Input Units","Notes","Room Name","Room Type"
"Appliance_00022595","SITE_00916","Room_00002436","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Red Jacket","Unknown","No","N/A","No",,"Unknown","Unknown",".5 HP","Outside_2","Outside"
"Appliance_00007573","SITE_00920","Room_00002477","Large Unusual Load","Oxygen Machine",1,,"No",,"Unknown","1125073","Invacare","Platinum 10","No","No","N/A",,"N/A","N/A","Oxygen concentrator Running 24/7","Living Room_1","Living Room"
"Appliance_00007574","SITE_00920","Room_00002474","Large Unusual Load","Shop Vac",1,,"Yes",2008,,"Unknown","Delta","50-760","Unknown","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00007575","SITE_00922","Room_00002508","Large Unusual Load","Water Softener",1,,"No",,"Unknown","Unknown","Waterboss","700","Unknown","No","N/A",,"N/A","N/A","Water softener","Mechanical_2","Mechanical"
"Appliance_00022596","SITE_00922","Room_00002511","Well Pump","N/A",,"N/A","No",,"Unknown","673 987","Myers","Hj50s","No","N/A","No",0.50000,,"HP","N/A","Outside_2","Outside"
"Appliance_00022597","SITE_00925","Room_00002533","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Red Jacket","50cn1-cn9bc","No","N/A","No",,"Unknown","Unknown","N/A","Outside_1","Outside"
"Appliance_00007576","SITE_00926","Room_00002538","Large Unusual Load","Metal Lathe",1,,"No",,"Unknown","Unknown","Central Machinery","T33274","Unknown","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00007577","SITE_00927","Room_00002552","Large Unusual Load","Oxygen Machine",1,,"No",,"Unknown","Unknown","Invacare","Platinum XL","No","No","N/A",,"N/A","N/A","N/A","Laundry_1","Laundry"
"Appliance_00007578","SITE_00928","Room_00002559","Large Unusual Load","Exercise Equipment",2,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","N/A","Bedroom_2","Bedroom"
"Appliance_00022598","SITE_00929","Room_00002583","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",,"Unknown","Unknown","Well assist pump in basement.","Outside_2","Outside"
"Appliance_00022599","SITE_00932","Room_00002608","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",,"Unknown","Unknown","N/A","Outside_2","Outside"
"Appliance_00022600","SITE_00933","Room_00002616","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","No","N/A","No",,"Unknown","Unknown","Could not access","Garage_2","Garage"
"Appliance_00007579","SITE_00933","Room_00002616","Large Unusual Load","Welder (Electric)",1,,"No",,"Unknown","Unknown","Forney","F180","No","No","N/A",,"N/A","N/A","In outbuilding on separate meter","Garage_2","Garage"
"Appliance_00007580","SITE_00933","Room_00002616","Large Unusual Load","Welder (Electric)",1,,"No",,"Unknown","44567","Chicago Electric Welding Systems","Migg-100","No","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00007581","SITE_00933","Room_00002616","Large Unusual Load","Air Compressor",1,,"No",,"Unknown","Unknown","Devilbiss","PAF430","No","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00022601","SITE_00936","Room_00002656","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","Well pump sealed off.","Outside_2","Outside"
"Appliance_00007651","SITE_00944","Room_00015076","Large Unusual Load","Oxygen Machine",1,,"No",,"Unknown","Unknown","Invacare","Ioh200","Unknown","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00007668","SITE_00953","Room_00015102","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Aqua-tech","5-15","No","No","N/A",,"N/A","N/A","10 gallon aquarium with filter","Living Room_1","Living Room"
"Appliance_00007669","SITE_00953","Room_00015103","Large Unusual Load","Large Uninterrupted Power Supply",1,,"No",,"Unknown","3B1222X37526","American Power Conversion","Be650mc","No","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00007670","SITE_00953","Room_00015103","Large Unusual Load","Electric Wheelchair Charger",1,,"No",,"Unknown","E317868 3RDZ","Invacare","Ws230-1a","No","No","N/A",,"N/A","N/A","N/A","Bedroom_1","Bedroom"
"Appliance_00007671","SITE_00953","Room_00015105","Large Unusual Load","Electric Door",1,,"No",,"Unknown","Unknown","Power access corp.","Unknown","No","No","N/A",,"N/A","N/A","N/A","Hall_1","Hall"
"Appliance_00007582","SITE_00957","Room_00002780","Large Unusual Load","Treadmill",1,,"No",,"Unknown","Unknown","NordicTrack","A2105","No","No","N/A",,"N/A","N/A","N/A","Living Room_1","Living Room"
"Appliance_00007583","SITE_00959","Room_00002800","Large Unusual Load","Air Purifier",1,,"No",,"Unknown","D-05-11-00990","Alen","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Bedroom_3","Bedroom"
