CK_Cadmus_ID,PK_SiteID,DB_SiteID,CK_SiteID,DB_RoomID,CK_RoomID,DB_WaterDetail_ID,PK_WaterDetail_ID,Iteration,Room,Clean Room,Fixture Type,GPM_Rated,GPM_Measured,Primary Shower,Secondary Shower Usage,Notes,Flow Factor,New Flow (Measured GPM),Weir or Bag
RBS71775 OS BPA,,SITE_01353,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6,Room_00018817,ROOM_71B0FBF3-544D-4BF9-8099-B5805B85D698,Water_00009222,WTR_DTL_D9266675-8A2D-47B9-9F0B-009F8EE11142,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6_3,Kitchen_1,Kitchen,Kitchen Faucet,2.2000000000000002,1,N/A,N/A,N/A,0.79600000000000004,0.79600000000000004,Bag
RBS71775 OS BPA,,SITE_01353,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6,Room_00018820,ROOM_0ECA06B4-6503-4235-AC67-3E76A64B462E,Water_00009223,WTR_DTL_9C5B5764-0C6E-4D35-8E53-43DA768B0900,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6_4,Bathroom_2,Bathroom,Bathroom Faucet,1.5,2,N/A,N/A,N/A,0.79600000000000004,1.5920000000000001,Bag
RBS71775 OS BPA,,SITE_01353,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6,Room_00018820,ROOM_0ECA06B4-6503-4235-AC67-3E76A64B462E,Water_00009224,WTR_DTL_1B0E1AD5-732E-469F-9420-1789234B78B1,SITE_70E6C334-5440-FB4A-A156-E29F726DCDC6_5,Bathroom_2,Bathroom,Shower,1.8,1.8,Secondary,A few times per month,N/A,0.84919999999999995,1.5285599999999999,Bag
RBS55060 OS BPA,,SITE_01325,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8,Room_00018438,ROOM_F7DFDAD2-62DE-4A36-A95A-499368644D23,Water_00009225,WTR_DTL_28C9E7DC-FC3A-444E-A43E-893403450FD1,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8_1,Bathroom_1,Bathroom,Bathroom Faucet,1.2,1.5,N/A,N/A,N/A,0.79600000000000004,1.194,Bag
RBS55060 OS BPA,,SITE_01325,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8,Room_00018438,ROOM_F7DFDAD2-62DE-4A36-A95A-499368644D23,Water_00009226,WTR_DTL_F63B8299-1CE0-4EFB-AABD-51038FB7CC99,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8_2,Bathroom_1,Bathroom,Bathroom Faucet,1.2,1.5,N/A,N/A,N/A,0.79600000000000004,1.194,Bag
RBS55060 OS BPA,,SITE_01325,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8,Room_00018438,ROOM_F7DFDAD2-62DE-4A36-A95A-499368644D23,Water_00009227,WTR_DTL_5B028D6D-23B7-4148-9AC9-6166FFBC572B,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8_3,Bathroom_1,Bathroom,Shower,Unknown,Unknown,Primary,Daily / Almost Daily,Cant access without getting in the shower,0.84919999999999995,Unknown,Bag
RBS55060 OS BPA,,SITE_01325,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8,Room_00018442,ROOM_BD8F8FA5-B3EC-4629-8585-C4D4B1605C74,Water_00009228,WTR_DTL_50278E10-7CFB-42E5-A39C-E2B8DF7435C6,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8_4,Kitchen_1,Kitchen,Kitchen Faucet,Unknown,1.8,N/A,N/A,N/A,0.79600000000000004,1.4328000000000001,Bag
RBS55060 OS BPA,,SITE_01325,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8,Room_00018443,ROOM_98CB8203-AE14-496B-8EB8-77636C07BC4B,Water_00009229,WTR_DTL_0C7721D9-C8EE-4747-A0EF-6BD49B4B756F,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8_5,Bathroom_2,Bathroom,Bathroom Faucet,1.2,1.2,N/A,N/A,N/A,0.79600000000000004,0.95520000000000005,Bag
RBS55060 OS BPA,,SITE_01325,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8,Room_00018443,ROOM_98CB8203-AE14-496B-8EB8-77636C07BC4B,Water_00009230,WTR_DTL_C52A168A-799D-448E-A732-A31B1F1B1FFE,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8_6,Bathroom_2,Bathroom,Bathroom Faucet,1.2,1.4,N/A,N/A,N/A,0.79600000000000004,1.1144000000000001,Bag
RBS55060 OS BPA,,SITE_01325,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8,Room_00018443,ROOM_98CB8203-AE14-496B-8EB8-77636C07BC4B,Water_00009231,WTR_DTL_B29B5692-8BF6-4CAA-A487-001D7F315EA1,SITE_4EE422A3-CAE8-374E-AFDD-29C1192822D8_7,Bathroom_2,Bathroom,Shower,Unknown,Unknown,Secondary,A few times per month,Cant measure without getting wet,0.84919999999999995,Unknown,Bag
RBS73198 OS BPA,,SITE_01355,SITE_84DA9709-8615-744B-8437-1FE588F8C86C,Room_00018844,ROOM_CEDDA908-B4E8-4446-A361-EB5C170D02C3,Water_00009232,WTR_DTL_CA85B204-BC6D-4C6F-B211-A6E0DDB98A22,SITE_84DA9709-8615-744B-8437-1FE588F8C86C_3,Bathroom_6,Bathroom,Shower / Bathtub combo with diverter valve,2.5,3,Primary,Daily / Almost Daily,N/A,0.84919999999999995,2.5476000000000001,Bag
RBS73198 OS BPA,,SITE_01355,SITE_84DA9709-8615-744B-8437-1FE588F8C86C,Room_00018844,ROOM_CEDDA908-B4E8-4446-A361-EB5C170D02C3,Water_00009233,WTR_DTL_60C9CEAB-A385-4159-9900-FB0AA2228994,SITE_84DA9709-8615-744B-8437-1FE588F8C86C_4,Bathroom_6,Bathroom,Bathroom Faucet,2.2000000000000002,2.2000000000000002,N/A,N/A,N/A,0.79600000000000004,1.7512000000000003,Bag
RBS74251 OS BPA,,SITE_01358,SITE_3790D0F8-9E76-8642-BD68-8CA1BDC425CE,Room_00018883,ROOM_CBA11420-6A9C-4E83-81B9-5FBF0970D38F,Water_00009234,WTR_DTL_4492684B-0CBC-4453-A11A-54A331B4A843,SITE_3790D0F8-9E76-8642-BD68-8CA1BDC425CE_3,Kitchen_2,Kitchen,Kitchen Faucet,2.2000000000000002,2,N/A,N/A,N/A,0.79600000000000004,1.5920000000000001,Bag
RBS50077 OS BPA,,SITE_01299,SITE_B3E70D7B-E2E2-C048-B515-AA32C2838DBD,Room_00018100,ROOM_A7326D5E-AE09-451F-AE2E-D56A237CEFC3,Water_00009235,WTR_DTL_42FC75BE-EF29-44C7-BBC9-62CE9ABEBBDB,SITE_B3E70D7B-E2E2-C048-B515-AA32C2838DBD_1,Bathroom_1,Bathroom,Bathroom Faucet,2.2000000000000002,2,N/A,N/A,N/A,0.79600000000000004,1.5920000000000001,Bag
RBS50077 OS BPA,,SITE_01299,SITE_B3E70D7B-E2E2-C048-B515-AA32C2838DBD,Room_00018100,ROOM_A7326D5E-AE09-451F-AE2E-D56A237CEFC3,Water_00009236,WTR_DTL_9A6A6061-497F-4B0E-8909-BD5569A641B5,SITE_B3E70D7B-E2E2-C048-B515-AA32C2838DBD_2,Bathroom_1,Bathroom,Shower / Bathtub combo with diverter valve,Unknown,2.7,Primary,Daily / Almost Daily,N/A,0.84919999999999995,2.29284,Bag
RBS50077 OS BPA,,SITE_01299,SITE_B3E70D7B-E2E2-C048-B515-AA32C2838DBD,Room_00018101,ROOM_03644AEE-27CA-4E71-9601-A61A39F95CAE,Water_00009237,WTR_DTL_1A40103A-10D4-444B-AE00-13EA60B264A0,SITE_B3E70D7B-E2E2-C048-B515-AA32C2838DBD_3,Kitchen_1,Kitchen,Kitchen Faucet,Unknown,4,N/A,N/A,N/A,0.79600000000000004,3.1840000000000002,Bag
RBS71683 OS BPA,,SITE_01352,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8,Room_00018803,ROOM_A3748DE9-3151-47DF-85E8-5CA3848C880B,Water_00009238,WTR_DTL_4E9DDF80-0275-41FD-9E44-50B915DFD0B0,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8_1,Bathroom_1,Bathroom,Bathtub,N/A,N/A,N/A,N/A,N/A,Drop,Drop,Drop
RBS71683 OS BPA,,SITE_01352,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8,Room_00018803,ROOM_A3748DE9-3151-47DF-85E8-5CA3848C880B,Water_00009239,WTR_DTL_18F0A401-0266-49C6-AE83-4A7A7639CB88,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8_2,Bathroom_1,Bathroom,Bathroom Faucet,2,3.5,N/A,N/A,N/A,0.79600000000000004,2.786,Bag
RBS71683 OS BPA,,SITE_01352,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8,Room_00018808,ROOM_E263FB7C-F80C-4FE2-882D-C3DDE9BF2FE0,Water_00009240,WTR_DTL_56F4E3D3-B432-4AED-86C7-E6F815032B85,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8_3,Kitchen_1,Kitchen,Kitchen Faucet,Unknown,1.5,N/A,N/A,N/A,0.79600000000000004,1.194,Bag
RBS71683 OS BPA,,SITE_01352,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8,Room_00018811,ROOM_B28D1D94-2463-4DFF-A46F-CE6FF9855A03,Water_00009241,WTR_DTL_0FD11F22-4BB6-462F-ACD4-8CEB5703636C,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8_4,Bathroom_2,Bathroom,Shower,Unknown,Unknown,Primary,A few times per week,Cant access without getting wet,0.84919999999999995,Unknown,Bag
RBS71683 OS BPA,,SITE_01352,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8,Room_00018811,ROOM_B28D1D94-2463-4DFF-A46F-CE6FF9855A03,Water_00009242,WTR_DTL_9A115D0C-2C33-4DF0-B650-ED94B23B1B31,SITE_6B177957-7DA3-424D-94E2-4C775CC837E8_5,Bathroom_2,Bathroom,Bathroom Faucet,Unknown,1.5,N/A,N/A,N/A,0.79600000000000004,1.194,Bag
RBM71003 OS BPA,,SITE_01288,SITE_628EA1B6-EA69-AF48-A5F5-C717753808D5,Room_00017990,ROOM_95CD80A0-15E6-4D38-AB7E-53591E441DFC,Water_00009243,WTR_DTL_40960BEE-6A5E-4D01-A593-53DB6DF329AA,SITE_628EA1B6-EA69-AF48-A5F5-C717753808D5_2,Bathroom_1,Bathroom,Bathroom Faucet,2.2000000000000002,2.5,N/A,N/A,N/A,0.79600000000000004,1.9900000000000002,Bag
RBM71003 OS BPA,,SITE_01288,SITE_628EA1B6-EA69-AF48-A5F5-C717753808D5,Room_00017990,ROOM_95CD80A0-15E6-4D38-AB7E-53591E441DFC,Water_00009244,WTR_DTL_7A8D324F-D069-4D03-A2D2-BDCFA3E5696E,SITE_628EA1B6-EA69-AF48-A5F5-C717753808D5_3,Bathroom_1,Bathroom,Shower / Bathtub combo with diverter valve,2,3,Primary,A few times per month,N/A,0.84919999999999995,2.5476000000000001,Bag
rbs71345 OS BPA,,SITE_01350,SITE_214922E3-C5E7-244F-9E23-4DA8A89448F1,Room_00018791,ROOM_D1E0E24E-863F-4CE4-AEAC-2A2C13B3E4CB,Water_00009245,WTR_DTL_E8B75158-84DF-400F-A7B1-6473E80B915A,SITE_214922E3-C5E7-244F-9E23-4DA8A89448F1_9,Bathroom_6,Bathroom,Bathroom Faucet,2.2000000000000002,2.8,N/A,N/A,N/A,0.79600000000000004,2.2288000000000001,Bag
RBM55260 OS BPA,,SITE_01251,SITE_5E610BC3-61EC-C341-8B2E-E80D8CD53170,Room_00017670,ROOM_E2132E1E-C3E5-4B8C-A37F-1C89A8B7693D,Water_00009246,WTR_DTL_14226B53-D7E5-4D76-9683-9F7BAC226078,SITE_5E610BC3-61EC-C341-8B2E-E80D8CD53170_3,Bathroom_6,Bathroom,Bathroom Faucet,Unknown,2,N/A,N/A,N/A,0.79600000000000004,1.5920000000000001,Bag
RBM55260 OS BPA,,SITE_01251,SITE_5E610BC3-61EC-C341-8B2E-E80D8CD53170,Room_00017670,ROOM_E2132E1E-C3E5-4B8C-A37F-1C89A8B7693D,Water_00009247,WTR_DTL_F2E4B7CA-1E40-42EC-AD76-9ED0BC0DC4AE,SITE_5E610BC3-61EC-C341-8B2E-E80D8CD53170_4,Bathroom_6,Bathroom,Shower / Bathtub combo with diverter valve,Unknown,2.5,Primary,Daily / Almost Daily,N/A,0.84919999999999995,2.1229999999999998,Bag
RBM71463 OS BPA,,SITE_01292,SITE_9E140572-BA9D-F445-9D75-CC057B8AE53A,Room_00018017,ROOM_F4DAB42E-9300-406A-BE4C-D2B2B42238A8,Water_00009248,WTR_DTL_5A402B49-F124-487E-8284-A8320985CFC8,SITE_9E140572-BA9D-F445-9D75-CC057B8AE53A_1,Kitchen_2,Kitchen,Kitchen Faucet,Unknown,1.5,N/A,N/A,N/A,0.79600000000000004,1.194,Bag
