"PK_Mechanical_ID","CK_SiteID","Distance to Return Grilles","Distance to Return Grilles_notes","Filter Condition","HVAC System Mode","Plate Used","Return Duct Sealing","TrueFlow Probe Location","Secondary Probe Location","TrueFlow Plate Location","NSOP","NSOP_notes","Plate 14 Pressure Differential","Plate 14 Pressure Differential_notes","Plate 20 Pressure Differential","Plate 20 Pressure Differential_notes","Secondary Pressure","Secondary Pressure_notes","TrueFlow SOP","TrueFlow SOP_notes","System Airflow (CFM)","TrueFlow Notes"
"Mechanical_00015134","SITE_00401",,,"Clean, like new","Fan only, high","Plate #20 (20x20 to 24x24)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot next to air handler",80.2000,,,,32.0000,,65.1000,,80.0000,,872.2438,"N/A"
"Mechanical_00015135","SITE_00424",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00015136","SITE_00425",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Side of return plenum (fits 'Best')","Filter slot at air handler",31.0000,,125.0000,,,,40.1000,,27.9000,,1355.2880,"N/A"
"Mechanical_00015137","SITE_01349",,,"Clean, like new","Heat","Plate #20 (20x20 to 24x24)",,"Supply register (fits 'Secondary')",,"Filter slot at air handler",30.5000,,,,37.7000,,,,-33.7000,,899.5522,"N/A"
"Mechanical_00015138","SITE_01354",,,,"Fan only, high",,,"Supply register (fits 'Secondary')","Other",,,,,,,,,,,,,"N/A"
"Mechanical_00014851","SITE_00371",1.0000,,"Clean, like new","Cool","Plate #20 (20x20 to 24x24)","Sealed (mastic on all joints and seams)","Side of return plenum (fits 'Best')","Supply register (fits 'Secondary')","Return grille within 10 feet of air handler",25.0000,,,,2.9000,,23.7000,,27.9000,,248.2491,"N/A"
"Mechanical_00014852","SITE_00872",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014853","SITE_00883",,,"Clean, like new","Fan only, high","Plate #20 (20x20 to 24x24)",,"Other","Supply register (fits 'Secondary')","Filter slot at air handler",28.9000,,,,27.3000,,57.2000,,23.7000,,888.5396,"N/A"
"Mechanical_00014854","SITE_00891",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014855","SITE_01012",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014857","SITE_01053",,,"Fairly dirty","Fan only, high","Plate #14 (14x20 to 18x20)",,"Side of supply plenum (fits 'Best')","Side of return plenum (fits 'Best')","Filter slot at air handler",20.8000,,60.9000,,,,79.3000,,24.4000,,828.5968,"N/A"
"Mechanical_00014858","SITE_01385",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014859","SITE_01388",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Side of return plenum (fits 'Best')","Supply register (fits 'Secondary')","Filter slot at air handler",87.5000,,32.3000,,,,40.0000,,29.7000,,1121.8245,"N/A"
"Mechanical_00014860","SITE_01392",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014861","SITE_01404",,,,,,,,,,,,,,,,,,,,,"Cannot access both sides of the air handler because the furnace sinks into the bottom of the house and is inaccessible in the crawlspace"
"Mechanical_00014862","SITE_01409",,,,,,,,,,,,,,,,,,,,,"N/A"
"Mechanical_00014863","SITE_01420",,,"Some dirt","Fan only, high","Plate #14 (14x20 to 18x20)",,"Supply register (fits 'Secondary')","Supply register (fits 'Secondary')","Filter slot at air handler",28.1000,,4.4000,,,,,,19.9000,,286.6492,"N/A"
