"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Game System Release","Used for DVD or Bluray","Used to access Internet","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00007112","SITE_00792","Room_00014325","Game Console","No",,"Unknown","Unknown","Microsoft","1540","No","Unknown","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007147","SITE_00795","Room_00014362","Game Console","No",,"Unknown","Unknown","Sony","Unknown","No","Original","No","Yes","Unknown","N/A","Bedroom_1","Bedroom"
"Appliance_00007088","SITE_00797","Room_00014383","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","No","Original","No","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007089","SITE_00797","Room_00014383","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","No","Original","No","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007105","SITE_00800","Room_00014412","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","No","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007106","SITE_00800","Room_00014416","Game Console","Yes",2012,,"N/A","Microsoft","1439","No","Slim","Yes","Yes","Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00007090","SITE_00801","Room_00014426","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","No","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007137","SITE_00802","Room_00014434","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Original","Yes","Yes","Yes","N/A","Bedroom_1","Bedroom"
"Appliance_00007124","SITE_00806","Room_00014466","Game Console","No",,"Unknown","Unknown","Microsoft","1540","No","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007125","SITE_00806","Room_00014469","Game Console","No",,"Unknown","Unknown","Sony","MB065878187","Unknown","Original","No","No","Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00007126","SITE_00806","Room_00014466","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","No","Original","Yes","Yes","No","N/A","Living Room_1","Living Room"
"Appliance_00007165","SITE_00810","Room_00014501","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","Unknown","Unknown","Yes","Yes","Yes","XboxOne","Family Room_1","Family Room"
"Appliance_00007142","SITE_00811","Room_00014506","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007065","SITE_00812","Room_00014517","Game Console","No",,"Unknown","CG163561028-CECH-2001A","Sony","Unknown","Unknown","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007131","SITE_00813","Room_00014520","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","No","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007132","SITE_00813","Room_00014526","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","No","Yes","Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00007133","SITE_00813","Room_00014526","Game Console","No",,"Unknown","Unknown","Sony","Unknown","Unknown","Original","No","Yes","Yes","N/A","Bedroom_2","Bedroom"
"Appliance_00007134","SITE_00815","Room_00014538","Game Console","No",,"Unknown","Unknown","Microsoft","Unknown","No","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007135","SITE_00815","Room_00014538","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","No","Original","No","No","No","N/A","Living Room_1","Living Room"
"Appliance_00007136","SITE_00815","Room_00014538","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","Unknown","Slim","No","No","No","N/A","Living Room_1","Living Room"
