"PK_Envelope_ID","CK_SiteID","Ceiling Type","Ceiling Area","Ceiling Area_notes","Type of Area Above Ceiling","Ceiling Accessible","Ceiling Insulated","Ceiling Insulation Type 1","Ceiling Insulation Thickness 1","Ceiling Insulation Thickness 1_notes","Ceiling Insulation Condition 1","Ceiling Insulation Condition 1_notes","Ceiling Insulation Type 2","Ceiling Insulation Thickness 2","Ceiling Insulation Thickness 2_notes","Ceiling Insulation Condition 2","Ceiling Insulation Condition 2_notes","Ceiling Insulation Type 3","Ceiling Insulation Thickness 3","Ceiling Insulation Thickness 3_notes","Ceiling Insulation Condition 3","Ceiling Insulation Condition 3_notes","Ceiling Insulation R-Value","Ceiling Insulation R-Value_notes","Ceiling U-Value","Ceiling U-Value_notes","Ceiling Heat Loss Rate (UA)","Ceiling Heat Loss Rate (UA)_notes","Ceiling Notes"
"Envelope_00004196","SITE_01607","Other",63.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0391,"Estimated based on homes of similar vintage",2.4607,,"This is a sunroom area on the north west side of the home there are only windows and framing."
"Envelope_00004057","SITE_01608","Attic",840.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0561,"Estimated based on homes of similar vintage",47.1052,,"Attic access behind locked door"
"Envelope_00004060","SITE_01609","Attic",1106.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0763,"Estimated based on homes of similar vintage",84.3989,,"N/A"
"Envelope_00003976","SITE_01610","Attic",1056.0000,,"N/A","Yes","Yes","Blown fiberglass",12.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",33.9000,,0.0350,,36.9912,,"N/A"
"Envelope_00004192","SITE_01611","Attic",1452.0000,,"N/A","Yes","Yes","Blown cellulose",5.5000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",18.7900,,0.0532,,77.3118,,"N/A"
"Envelope_00003588","SITE_01612","Attic",1508.0000,,"N/A","Yes","Yes","Fiberglass batts",3.5000,,0.9000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",11.9400,,0.1250,,188.4702,,"N/A"
"Envelope_00004058","SITE_01613","Attic",1188.0000,,"N/A","Yes","Yes","Blown mineral wool",5.5000,,0.9000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",15.8600,,0.1075,,127.6546,,"N/A"
"Envelope_00004173","SITE_01614","Attic",885.0000,,"N/A","Yes","Yes","Fiberglass batts",10.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",34.1000,,0.0339,,29.9895,,"N/A"
"Envelope_00003948","SITE_01615","Attic",1118.0000,,"N/A","Yes","Yes","Blown fiberglass",18.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",50.8500,,0.0283,,31.6483,,"N/A"
"Envelope_00003919","SITE_01616","Attic",974.0000,,"N/A","Yes","Yes","Mineral wool batts",3.5000,,0.9000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",12.6000,,0.1221,,118.9335,,"N/A"
"Envelope_00003920","SITE_01616","Sloped / Vaulted (no attic)",483.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.1153,"Estimated based on homes of similar vintage",55.6691,,"N/A"
"Envelope_00004018","SITE_01617","Attic",634.2500,,"N/A","Yes","Yes","Blown fiberglass",14.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",39.5500,,0.0320,,20.3076,,"N/A"
"Envelope_00004019","SITE_01617","Sloped / Vaulted (no attic)",675.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.1221,"Estimated based on homes of similar vintage",82.4360,,"N/A"
"Envelope_00004065","SITE_01618","Attic",983.0000,,"N/A","Yes","Yes","Fiberglass batts",12.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",40.9200,,0.0302,,29.6981,,"Could not see joists below insulation"
"Envelope_00004066","SITE_01618","Ceiling (Unknown)",16.0000,,"N/A","Unknown","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",,"Exclude",,"Exclude","N/A"
"Envelope_00004067","SITE_01618","Attic",391.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.0412,"Estimated based on homes of similar vintage",16.1245,,"Knee wall over floor 1 plus sloped roof area in ne corner"
"Envelope_00004509","SITE_01619","Sloped / Vaulted (no attic)",614.0000,,"N/A","No","Unknown","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A",,"Unknown",0.1153,"Estimated based on homes of similar vintage",70.7678,,"N/A"
