"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Number of Pieces of Audio Equipment","Number of Pieces of Audio Equipment_notes","Contains Suboofer","Does Subwoofer have indicator light or warm to touch","Audio Wifi Enabled","Audio Connected to TV","Notes","Room Name","Room Type"
"Appliance_00000717","SITE_00539","Room_00010882","Audio Equipment","No",,"Unknown","Unknown","Sony","CMT-FX300i","No",3.0000,,"No","N/A","No","No","N/A","Bedroom_3","Bedroom"
"Appliance_00000718","SITE_00540","Room_00010892","Audio Equipment","No",,"Unknown","Unknown","Logitech","S-00097a","No",6.0000,,"Yes","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000719","SITE_00541","Room_00010908","Audio Equipment","No",,"Unknown","Unknown","Pioneer","VSX-D510","No",2.0000,,"No","N/A","No","Unknown","N/A","Bedroom_2","Bedroom"
"Appliance_00000720","SITE_00543","Room_00010938","Audio Equipment","No",,"Unknown","Unknown","Sony","Unknown","Unknown",1.0000,,"No","N/A","No","Yes","Could not access nameplate","Living Room_1","Living Room"
"Appliance_00000721","SITE_00543","Room_00010940","Audio Equipment","No",,"Unknown","CP000625000142","Hp","PP036AA","No",2.0000,,"No","N/A","No","No","N/A","Office_1","Office"
"Appliance_00000722","SITE_00545","Room_00010968","Audio Equipment","No",,"Unknown","Unknown","Philips","Unknown","No",4.0000,,"No","N/A","No","No","N/A","Bedroom_2","Bedroom"
"Appliance_00000934","SITE_00546","Room_00010989","Audio Equipment","No",,"Unknown","Unknown","Yamaha","MX1","No",2.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000935","SITE_00546","Room_00010992","Audio Equipment","No",,"Unknown","Unknown","Yamaha","RX-V473","Unknown",5.0000,,"Yes","Yes","No","Yes","N/A","Family Room_1","Family Room"
"Appliance_00000723","SITE_00547","Room_00011000","Audio Equipment","No",,"Unknown","Unknown","Unknown","Unknown","No",2.0000,,"No","N/A","No","No","8-track & record player","Family Room_1","Family Room"
"Appliance_00000724","SITE_00549","Room_00011021","Audio Equipment","No",,"Unknown","Unknown","Unknown","Unknown","No",1.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000926","SITE_00551","Room_00011041","Audio Equipment","No",,"Unknown","Unknown","Yamaha","RX-V675","Unknown",6.0000,,"Yes","Unknown","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000927","SITE_00551","Room_00011043","Audio Equipment","No",,"Unknown","Unknown","Sonos","Play:5","Unknown",1.0000,,"No","N/A","No","No","N/A","Office_1","Office"
"Appliance_00000725","SITE_00552","Room_00011057","Audio Equipment","No",,"Unknown","0508415896","ILive","IHB23B","No",3.0000,,"No","N/A","No","No","N/A","Family Room_1","Family Room"
"Appliance_00000726","SITE_00552","Room_00011056","Audio Equipment","No",,"Unknown","Unknown","RCA","RTD317W","No",5.0000,,"Yes","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000727","SITE_00552","Room_00011066","Audio Equipment","No",,"Unknown","Unknown","Benwin","Unknown","No",3.0000,,"Yes","No","No","No","N/A","Bedroom_6","Bedroom"
"Appliance_00000728","SITE_00554","Room_00011080","Audio Equipment","No",,"Unknown","Unknown","Kenwood","dpr4430","No",1.0000,,"Yes","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000729","SITE_00554","Room_00011080","Audio Equipment","No",,"Unknown","Unknown","Integra","dtr-7.8","No",1.0000,,"Yes","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000730","SITE_00555","Room_00011093","Audio Equipment","No",,"Unknown","Unknown","Yamaha","Rx-v661","No",5.0000,,"Yes","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000731","SITE_00555","Room_00011099","Audio Equipment","No",,"Unknown","Unknown","Unknown","Unknown","Unknown",1.0000,,"Yes","No","No","Yes","N/A","Basement_1","Basement"
"Appliance_00000732","SITE_00555","Room_00011099","Audio Equipment","No",,"Unknown","Unknown","Sansui","Unknown","No",5.0000,,"No","N/A","No","No","Record player set up","Basement_1","Basement"
"Appliance_00000733","SITE_00555","Room_00011092","Audio Equipment","No",,"Unknown","Unknown","Bose","Unknown","Unknown",1.0000,,"No","N/A","No","No","N/A","Kitchen_1","Kitchen"
"Appliance_00000734","SITE_00555","Room_00011108","Audio Equipment","No",,"Unknown","Unknown","Sony","Unknown","No",1.0000,,"No","N/A","No","No","N/A","Office_1","Office"
"Appliance_00000735","SITE_00556","Room_00011116","Audio Equipment","No",,"Unknown","Unknown","Sonance","Sonamp1250","No",2.0000,,"Yes","No","No","Yes","N/A","Family Room_1","Family Room"
"Appliance_00000736","SITE_00556","Room_00011116","Audio Equipment","No",,"Unknown","Unknown","Monster power","Hts2000mkii","No",3.0000,,"No","N/A","No","Yes","N/A","Family Room_1","Family Room"
"Appliance_00000737","SITE_00556","Room_00011117","Audio Equipment","No",,"Unknown","Unknown","Sonos","Zp120","No",4.0000,,"Yes","No","Yes","No","N/A","Dining Room_1","Dining Room"
"Appliance_00000738","SITE_00558","Room_00011137","Audio Equipment","No",,"Unknown","HJ5BA07628","Technics","Sn-a26","No",2.0000,,"No","N/A","No","Unknown","N/A","Living Room_1","Living Room"
"Appliance_00000739","SITE_00560","Room_00011163","Audio Equipment","No",,"Unknown","Unknown","Pioneer","Sx-2300","No",4.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000965","SITE_00562","Room_00011197","Audio Equipment","No",,"Unknown","064708953201258A3","Bose","415859","Unknown",1.0000,,"No","N/A","Yes","No","N/A","Living Room_1","Living Room"
"Appliance_00000740","SITE_00563","Room_00011206","Audio Equipment","No",,"Unknown","Unknown","Intertek","Kt2026mby","No",1.0000,,"No","N/A","No","No","N/A","Bedroom_2","Bedroom"
