"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Primary","Stove Fuel","Oven Fuel","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00014725","SITE_01871","Room_00022720","Stove/Oven","No",,"Unknown","Unknown","Frigidaire","Unknown","Unknown","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014087","SITE_01873","Room_00022732","Stove/Oven","No",2011,,"VF10252406","Kenmore","790.90214010","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014088","SITE_01874","Room_00022744","Stove/Oven","No",2010,,"VF03246622","Kenmore","790.90112010","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014089","SITE_01875","Room_00022761","Stove/Oven","No",1999,,"9912240296","Amana","AOES2730WW","No","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014090","SITE_01876","Room_00022767","Stove/Oven","No",,"Unknown","Unknown","General Electric","Unknown","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014091","SITE_01877","Room_00022774","Stove/Oven","No",2010,,"FT111343G","General Electric","J BS03 V4WH","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014092","SITE_01879","Room_00022790","Stove/Oven","No",2010,,"VE04304862","Amana","AGR3311WDW1","No","Yes","Gas","Gas","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014093","SITE_01880","Room_00022794","Stove/Oven","No",2016,,"AG137339R","Hotpoint","R b525b h2ct","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014094","SITE_01881","Room_00022802","Stove/Oven","No",2014,,"SD141418R","General Electric","Rb525c3ad","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014095","SITE_01882","Room_00022816","Stove/Oven","No",2012,,"GZ114520P","General Electric","Jbs27b c1wh","No","Yes","Electric","Electric","No","N/A","Kitchen_2","Kitchen"
"Appliance_00014096","SITE_01883","Room_00022822","Stove/Oven","No",,"Unknown","Unknown","Hotpoint","Unknown","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014097","SITE_01884","Room_00022827","Stove/Oven","No",2015,,"DF163620H","Hotpoint","RA5152TWH","No","Yes","Electric","Electric","No","N/A","Kitchen_2","Kitchen"
"Appliance_00014197","SITE_01885","Room_00022831","Stove/Oven","No",2012,,"R22221319","Whirlpool","WFC310s0AS0","No","Yes","Electric","Electric","No","N/A","Kitchen_2","Kitchen"
"Appliance_00014098","SITE_01886","Room_00022845","Stove/Oven","No",,"Unknown","Unknown","Hotpoint","Unknown","No","Yes","Electric","Electric","No","N/A","Hall_8","Hall"
"Appliance_00014099","SITE_01887","Room_00022855","Stove/Oven","No",,"Unknown","Unknown","Amana","Unknown","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014100","SITE_01888","Room_00022862","Stove/Oven","No",1998,,"NF82801664","Tappan","Teb500cfb2","No","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014101","SITE_01888","Room_00022862","Stove/Oven","No",,"Unknown","Unknown","Tappan","Unknown","No","Yes","Electric","No oven","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014102","SITE_01889","Room_00022875","Stove/Oven","No",,"Unknown","B0500263","Whirlpool","Rs313pxyh0","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00014103","SITE_01890","Room_00022883","Stove/Oven","No",,"Unknown","GH116533H","Hotpoint","R b525 s1wh","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013317","SITE_01891","Room_00022895","Stove/Oven","Unknown",,"Unknown","Unknown","Thermador","Unknown","No","Yes","Gas","Gas","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013421","SITE_01892","Room_00022912","Stove/Oven","Unknown",,"Unknown","Unknown","Frigidaire","FEF326ASA","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013408","SITE_01893","Room_00022943","Stove/Oven","Unknown",,"Unknown","Unknown","Bosch","Unknown","Unknown","Yes","Electric","Electric","Unknown","N/A","Kitchen_1","Kitchen"
"Appliance_00013650","SITE_01894","Room_00022950","Stove/Oven","Unknown",,"Unknown","Unknown","Jenn Air","Unknown","Unknown","Yes","Electric","No oven","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013651","SITE_01894","Room_00022950","Stove/Oven","Unknown",,"Unknown","Unknown","Whirlpool","Ree1600p-2","No","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013661","SITE_01895","Room_00022970","Stove/Oven","Unknown",,"Unknown","Unknown","Amana","ARTSC86506","No","Yes","Electric","Electric","No","Stove/Oven: Oven broken. Stove works.","Kitchen_2","Kitchen"
"Appliance_00013422","SITE_01897","Room_00022984","Stove/Oven","Unknown",,"Unknown","Unknown","Frigidaire","FEFL78CSC","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013336","SITE_01898","Room_00023002","Stove/Oven","Unknown",,"Unknown","Unknown","Kenmore","665.95272500","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013474","SITE_01899","Room_00023018","Stove/Oven","Unknown",,"Unknown","Unknown","Dacor","Unknown","No","Yes","Gas","No oven","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013475","SITE_01899","Room_00023018","Stove/Oven","Unknown",,"Unknown","Unknown","Fisher & Paykel","Unknown","No","Yes","No Stove","Gas","Unknown","N/A","Kitchen_1","Kitchen"
"Appliance_00013404","SITE_01900","Room_00023034","Stove/Oven","Unknown",,"Unknown","Unknown","Kenmore","790.96012404","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013594","SITE_01901","Room_00023058","Stove/Oven","Unknown",,"Unknown","Unknown","Frigidaire","FEFL68GMA","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013476","SITE_01902","Room_00023064","Stove/Oven","Unknown",,"Unknown","Unknown","General Electric","Jb650df1ww","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013397","SITE_01903","Room_00023086","Stove/Oven","Unknown",,"Unknown","Unknown","Spectra","J BP71B0F1WH","Unknown","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013715","SITE_01904","Room_00023091","Stove/Oven","Unknown",,"Unknown","Unknown","KitchenAid","KEDS100VWH1","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013450","SITE_01905","Room_00023112","Stove/Oven","Unknown",,"Unknown","Unknown","KitchenAid","Kode507ess01","No","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013451","SITE_01905","Room_00023112","Stove/Oven","Yes",2016,,"N/A","Wolf","Ci365ts","Unknown","Yes","Electric","No oven","No","Stove/Oven: Induction topStove/Oven: Model from owner","Kitchen_1","Kitchen"
"Appliance_00013382","SITE_01906","Room_00023130","Stove/Oven","Unknown",,"Unknown","Unknown","Kenmore","790.96002600","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013660","SITE_01907","Room_00023145","Stove/Oven","Unknown",,"Unknown","Unknown","Maytag","MER7775XS1","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
