"SITEID","Building_Category","State","Site_Case_Weight","Ownership","Vintage","Conditioned_Area","COHORT","county","City","subregion","zip","utility_name","ut_class","utility_id","stratum","pop_ct","unit_multiplicity_ct","ALT_svy_wt"
SITE_00670,Multifamily (5 or more units),WA,1819.67,Rent,2002,,MF,Dou,EAST WEN,EW,98802,PUD No 1 of Do,non-BPA,5326,WA.1,20024,1,6674.666667
SITE_00671,Single Family (4 or fewer units),WA,3805.5,Own / buying,1954,1260,SF,Gra,MOSES LA,EW,98837,PUD No 2 of Gr,non-BPA,14624,EWA.,64327,1,7147.444444
SITE_00672,Multifamily (5 or more units),WA,1819.67,Unknown,1988,,MF,Yak,YAKIMA,EW,98901,PacifiCorp,non-BPA,14354,WA.1,7429,1,1061.285714
SITE_00673,Multifamily (5 or more units),WA,1819.67,Rent,1980,,MF,Yak,YAKIMA,EW,98902,PacifiCorp,non-BPA,14354,WA.1,7429,1,1061.285714
SITE_00674,Multifamily (5 or more units),WA,1819.67,Rent,2013,,MF,Yak,YAKIMA,EW,98902,PacifiCorp,non-BPA,14354,WA.1,7429,1,1061.285714
SITE_00675,Single Family (4 or fewer units),WA,3805.5,Rent,2013,775.2,SF,Yak,GRANDVIE,EW,98930,PacifiCorp,non-BPA,14354,EWA.,59052,1,7381.5
SITE_00676,Multifamily (5 or more units),WA,1819.67,Rent,2014,,MF,Spo,AIRWAY H,EW,99001,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00677,Multifamily (5 or more units),WA,687.85,Rent,1970,,MF,Spo,CHENEY,EW,99004,City of Cheney,BPA,3420,WA.1,9790,1,1223.75
SITE_00678,Multifamily (5 or more units),WA,1819.67,Rent,1990,,MF,Whi,PULLMAN,EW,99163,Avista Corp,non-BPA,20169,WA.1,20024,1,6674.666667
SITE_00679,Multifamily (5 or more units),WA,1819.67,Rent,1966,,MF,Spo,SPOKANE,EW,99201,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00680,Single Family (4 or fewer units),WA,3805.5,Rent,1898,444,SF,Spo,SPOKANE,EW,99201,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00681,Multifamily (5 or more units),WA,1819.67,Rent,1920,,MF,Spo,SPOKANE,EW,99201,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00682,Multifamily (5 or more units),WA,1819.67,Rent,1979,,MF,Spo,SPOKANE,EW,99201,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00683,Multifamily (5 or more units),WA,1819.67,Rent,1910,,MF,Spo,SPOKANE,EW,99202,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00684,Multifamily (5 or more units),WA,1819.67,Rent,1960,,MF,Spo,SPOKANE,EW,99202,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00685,Multifamily (5 or more units),WA,1819.67,Rent,1980,,MF,Spo,SPOKANE,EW,99203,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00686,Multifamily (5 or more units),WA,1819.67,Rent,1909,,MF,Spo,SPOKANE,EW,99204,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00687,Single Family (4 or fewer units),WA,3805.5,Own / buying,1909,4656,SF,Spo,SPOKANE,EW,99204,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00688,Multifamily (5 or more units),WA,1819.67,Rent,1985,,MF,Spo,SPOKANE,EW,99205,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00689,Multifamily (5 or more units),WA,1819.67,Rent,1914,,MF,Spo,SPOKANE,EW,99205,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00690,Multifamily (5 or more units),WA,687.85,Rent,1970,,MF,Spo,SPOKANE,EW,99206,Modern Electri,BPA,12744,WA.1,9790,1,1223.75
SITE_00691,Multifamily (5 or more units),WA,1819.67,Rent,1975,,MF,Spo,SPOKANE,EW,99206,Avista Corp,non-BPA,20169,WA.8,29756,1,1859.75
SITE_00692,Single Family (4 or fewer units),WA,3805.5,Rent,,1050,SF,Spo,SPOKANE,EW,99201,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00693,Single Family (4 or fewer units),WA,3805.5,Own / buying,1993,1937.3,SF,Wal,WALLA WA,EW,99362,PacifiCorp,non-BPA,14354,EWA.,92396,1,2639.885714
SITE_00694,Single Family (4 or fewer units),WA,3931.6,Own / buying,2004,1648,SF,Fra,PASCO,EW,99301,PUD No 1 of Fr,BPA,6716,EWA.,92396,1,2639.885714
SITE_00695,Single Family (4 or fewer units),WA,3805.5,Own / buying,2016,1847,SF,Spo,SPOKANE,EW,99208,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00696,Single Family (4 or fewer units),WA,3805.5,Own / buying,1977,1907,SF,Whi,PULLMAN,EW,99163,Avista Corp,non-BPA,20169,EWA.,118386,1,9106.615385
