"PK_Mechanical_ID","CK_SiteID","System Type","Technology","Size (Gallons)","Size (Gallons)_notes","Make","Model","Year Manufactured on Nameplate","Year Manufactured","Year Manufactured_notes","Serial Number","Provided by Heating System","Supplemental Solar Water Heating","Fuel Type","Capacity","Capacity_notes","Capacity Units","Energy Factor","Energy Factor_notes","HPWH in Conditioned Space","HPWH Conditioned Space Type","HPWH Conditioned Space Size","HPWH Conditioned Space Size_notes","HPWH Relation to Space Heating Unit","HPWH Ducting","Location","Serves Whole House","Within 4 feet of a drain","Drain Type","Tank Wrap","Tank Wrap Thickness","Tank Wrap Thickness_notes","Pipe Wrap","Pipe Wrap Type","Pipe Wrap Length","Pipe Wrap Length_notes","Pipe Wrap Thickness","Pipe Wrap Thickness_notes","Can Exhaust to Garage or Get Supply Air from Home Interior","In a room greater than 1,000 cubic feet","Eight feet of Vertical Space","Wifi Enabled"
"Mechanical_00010104","SITE_01421","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","41v50","Yes",2002,,"N/A","No","No","Natural Gas",40000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",15.0000,,0.5000,,"Yes","No","Yes","No"
"Mechanical_00010105","SITE_01422","Storage Water Heater","Fossil Fuel Non-Condensing",,"Unknown","AO Smith","Unknown","No",,"Unknown","Unknown","No","No","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Yes",2.0000,,"No","N/A",,"N/A",,"N/A","Yes","No","Yes","Unknown"
"Mechanical_00010106","SITE_01423","Storage Water Heater","Electric Resistance",55.0000,,"Reliance","1250DART","No",2013,,"1349J015716","No","No","Electric",5.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","No","No"
"Mechanical_00010107","SITE_01424","Storage Water Heater","Electric Resistance",55.0000,,"Reliance","950d0rt210","No",2012,,"1206J0094328010","No","No","Electric",9.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00010108","SITE_01425","Storage Water Heater","Fossil Fuel Non-Condensing",75.0000,,"Ruud","P75","No",1992,,"RUN 1092C06171","No","No","Natural Gas",75500.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00010109","SITE_01426","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","41v50","No",,"Unknown","Unknown","No","No","Natural Gas",40000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00010110","SITE_01427","Instantaneous Water Heater","Unknown",0.0000,,"Rinnai","Unknown","Yes",2009,,"N/A","No","No","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","No","No"
"Mechanical_00010111","SITE_01428","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","M250t6ds-1ncww","No",2007,,"DK9734804","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00010112","SITE_01429","Storage Water Heater","Electric Resistance",50.0000,,"US Craftmaster","E1F50RD045V","No",2004,,"0418117026","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","Yes","Plumbed drain","No",,"N/A","Yes","Polyethylene Foam",6.0000,,1.0000,,"Yes","Yes","Yes","No"
"Mechanical_00010113","SITE_01430","Instantaneous Water Heater","Fossil Fuel Condensing",0.0000,,"Rinnai","R75-LSi (REU-VA2528FFUD (A) -UC)","Yes",2008,,"N/A","No","No","Natural Gas",180000.0000,,"Btuh",0.8200,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",3.5000,,0.5000,,"Yes","Yes","Yes","No"
"Mechanical_00010114","SITE_01431","Storage Water Heater","Electric Resistance",50.0000,,"American Appliance","E52-50r-045d","No",1997,,"9720350110","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010115","SITE_01432","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Richmond","RMGXR50-40TI","Yes",1990,,"N/A","No","No","Natural Gas",40000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00010116","SITE_01433","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Kenmore","153.335551","No",1995,,"F95135125","No","No","Natural Gas",40000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010117","SITE_01434","Storage Water Heater","Fossil Fuel Non-Condensing",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","No","No","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Unknown","Unknown","Unknown","N/A","Yes",,"N/A","Unknown","N/A",,"N/A",,"N/A","Unknown","Unknown","Unknown","Unknown"
"Mechanical_00010118","SITE_01435","Storage Water Heater","Fossil Fuel Non-Condensing",80.0000,,"AO Smith","Unknown","No",,"Unknown","Unknown","No","No","Natural Gas",48000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Unknown","No",,"N/A","Unknown","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00010119","SITE_01436","Storage Water Heater","Unknown",66.0000,,"American Appliance","Mexr66d1l","No",1987,,"A870517334","Yes","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00010120","SITE_01437","Storage Water Heater","Fossil Fuel Non-Condensing",75.0000,,"Powerflex","Pvg52-75t75-3nv","No",1996,,"9639114369","No","No","Natural Gas",74500.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","No","No"
"Mechanical_00010121","SITE_01438","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"General Electric","SG50T12AA01","Yes",2003,,"N/A","No","No","Natural Gas",40000.0000,,"Btuh",0.6000,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010122","SITE_01439","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Bradford White","Mi5036fbn","No",2006,,"CJ8283779","No","No","Natural Gas",40000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010123","SITE_01440","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"AO Smith","Unknown","No",,"Unknown","Unknown","No","No","Natural Gas",38000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Unknown","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00010124","SITE_01440","Storage Water Heater","Fossil Fuel Condensing",50.0000,,"AO Smith","Gpvh50100100","Yes",2006,,"N/A","Yes","No","Natural Gas",40000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Unknown","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00010125","SITE_01442","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","M250T6DS-1NCWW","No",2014,,"LC34202019","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00010126","SITE_01443","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","22V50F1","Yes",2013,,"N/A","No","No","Natural Gas",38000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","No","No"
"Mechanical_00010127","SITE_01444","Storage Water Heater","Electric Resistance",80.0000,,"Ruud","Me3r-80-2","Yes",2005,,"N/A","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",2.0000,,1.0000,,"No","No","Yes","No"
"Mechanical_00010128","SITE_01445","Storage Water Heater","Fossil Fuel Condensing",40.0000,,"Whirlpool","Fg1f4034t3n0v","No",2005,,"0544116401","No","No","Natural Gas",34000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","No","No"
"Mechanical_00010129","SITE_01446","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Bradford White","Mi40t6fbn4","No",2004,,"AF4772712","No","No","Natural Gas",40000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010130","SITE_01447","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"American Water Heaters","G61-40T34-3N","Yes",2007,,"N/A","No","No","Natural Gas",34000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00010131","SITE_01448","Storage Water Heater","Electric Resistance",50.0000,,"Unknown","M-I-RE50S5DS-12","No",1984,,"GB8489916","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","No","Unknown"
"Mechanical_00011061","SITE_00747","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Ruud","PH50N","No",2006,,"RULN 0601108627","No","No","Natural Gas",40000.0000,,"Btuh",0.5400,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011062","SITE_00725","Storage Water Heater","Electric Resistance",50.0000,,"Kenmore","153.316550","No",1989,,"898487500","No","No","Electric",3.8000,,"kW",0.8800,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011063","SITE_00724","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Bradford White","MI5036FBN","No",1995,,"DC8981774","No","No","Natural Gas",40000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00011064","SITE_00772","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"American Appliance","G52-40S33-3N","No",1993,,"9345301780","No","No","Natural Gas",33000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Crawlspace","Yes","Yes","Dirt","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Unknown","Yes","No"
"Mechanical_00011065","SITE_00788","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"General Electric","GG50T06AVH00","Yes",2009,,"N/A","No","No","Natural Gas",38000.0000,,"Btuh",0.5800,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","Yes","No"
"Mechanical_00011066","SITE_00763","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"American Appliance","GV2F90-533T","No",1992,,"9226301767","No","No","Natural Gas",38000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","No","No"
"Mechanical_00011067","SITE_00768","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","M250S6DS-1NCWW","No",2010,,"GM14229046","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011068","SITE_00651","Storage Water Heater","Electric Resistance",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","No","N/A","Yes",2.0000,,"No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011069","SITE_00764","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","SE50M12AAH","Yes",2011,,"N/A","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",6.0000,,1.0000,,"Yes","No","Yes","No"
"Mechanical_00011070","SITE_00650","Storage Water Heater","Electric Resistance",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011071","SITE_00723","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","GE50M06AAG","Yes",2009,,"N/A","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Crawlspace","Yes","No","N/A","No",,"N/A","Yes","Fiberglass",4.0000,,1.0000,,"No","Yes","No","No"
"Mechanical_00011072","SITE_00675","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","82V52-2","No",2012,,"RH M161212529","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011073","SITE_00715","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Rheem","XG50T09HE40U0","No",2016,,"M381609405","No","No","Natural Gas",40000.0000,,"Btuh",0.6200,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011074","SITE_00780","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"AO Smith","FPD50234","No",1996,,"MG960038970S19","No","No","Natural Gas",42000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","No","No"
"Mechanical_00011075","SITE_00659","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","Re350t6","No",2016,,"NH38053168","No","No","Electric",4.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","Yes","Plumbed drain","No",,"N/A","Yes","Polyethylene Foam",3.0000,,0.5000,,"Yes","Yes","Yes","No"
"Mechanical_00011076","SITE_00769","Storage Water Heater","Electric Resistance",50.0000,,"Richmond","8v50-2","No",1999,,"0299119999","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","Yes","No"
"Mechanical_00011077","SITE_00752","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","M250t6ds-1ncww","No",2008,,"EE10565136","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Plumbed drain","No",,"N/A","Yes","Polyethylene Foam",2.0000,,0.5000,,"No","Yes","Yes","No"
"Mechanical_00011078","SITE_00669","Storage Water Heater","Electric Resistance",50.0000,,"Whirlpool","E1F50RD045V","No",2011,,"1110T454895","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011079","SITE_00786","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","GE50T06TAG","No",2013,,"GE M381313344","No","No","Electric",4.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","Unknown","N/A","No",,"N/A","Yes","Polyethylene Foam",2.0000,,1.0000,,"Yes","Yes","Yes","No"
"Mechanical_00011080","SITE_00655","Storage Water Heater","Electric Resistance",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","Unknown","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","Yes","No","No","Unknown"
"Mechanical_00011081","SITE_00758","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"AO Smith","fgr 50 224d","No",1993,,"MK93-0073255-224D","Yes","No","Natural Gas",40000.0000,,"Btuh",0.6000,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","No","No"
"Mechanical_00011082","SITE_00491","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Whirlpool","fg1h5040t3nov","No",2007,,"0730419","No","No","Natural Gas",40000.0000,,"Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",6.0000,,0.5000,,"No","Yes","Yes","No"
"Mechanical_00011083","SITE_00709","Storage Water Heater","Electric Resistance",50.0000,,"Ruud","pe52-2","No",1995,,"0595B01705","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","Yes","Yes","No"
"Mechanical_00011084","SITE_00685","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","82mv52-2","Yes",2011,,"N/A","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011085","SITE_00697","Storage Water Heater","Electric Resistance",50.0000,,"Ruud","pe3r-52-2","Yes",2004,,"N/A","No","No","Electric",4.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011086","SITE_00492","Storage Water Heater","Electric Resistance",80.0000,,"Rheem","PROE80 2 RH86","Yes",2014,,"N/A","No","No","Electric",4.5000,,"kW",0.8600,,"N/A","N/A",,"N/A","N/A","N/A","Garage","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",5.0000,,0.5000,,"Yes","No","Yes","No"
"Mechanical_00011087","SITE_00678","Storage Water Heater","Electric Resistance",50.0000,,"AO Smith","Ees 52 917","No",2000,,"GH00-5932380-917","No","No","Electric",4.5000,,"kW",0.8700,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011088","SITE_00781","Storage Water Heater","Fossil Fuel Non-Condensing",50.0000,,"Bradford White","M1TW50S6FBN","No",1993,,"KF18461422","No","No","Natural Gas",40000.0000,,"Btuh",0.6300,,"N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Unknown","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","No","No"
"Mechanical_00011350","SITE_00142","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","No","N/A","Yes",0.5000,,"No","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00011351","BLDG_00023","Storage Water Heater","Electric Resistance",50.0000,,"AO Smith","ECT 52 210","No",2013,,"1338J005474","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Basement","N/A","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","N/A","N/A","No"
"Mechanical_00011352","SITE_00152","Storage Water Heater","Electric Resistance",46.5000,,"US Craftmaster","Unknown","No",,"Unknown","Unknown","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Crawlspace","Yes","No","N/A","Yes",3.0000,,"Yes","Polyethylene Foam",8.0000,,0.5000,,"No","Yes","No","No"
"Mechanical_00011353","SITE_00178","Storage Water Heater","Electric Resistance",50.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011354","SITE_00024","Storage Water Heater","Electric Resistance",40.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Exterior","Yes","No","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011355","SITE_00068","Storage Water Heater","Electric Resistance",30.0000,,"Rheem","Xe30s06st45u0","No",2014,,"RH M171416702","No","No","Electric",4.5000,,"kW",0.9300,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011356","SITE_00059","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","Xe50t09el55u1","No",2015,,"M501515258","No","No","Electric",5.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011357","SITE_00041","Storage Water Heater","Electric Resistance",50.0000,,"American Water Heaters","E61-50r-045d","No",2010,,"1034T409212","No","No","Electric",4.5000,,"kW",0.9000,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011358","SITE_00022","Storage Water Heater","Electric Resistance",40.0000,,"Hotpoint","He40m01sag","Yes",2008,,"N/A","No","No","Electric",3.8000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",20.0000,,0.5000,,"Yes","No","No","No"
"Mechanical_00011359","SITE_00037","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","Ge50t6ea","No",2001,,"GE 0801246628","No","No","Electric",4.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",6.0000,,0.5000,,"Yes","No","No","No"
"Mechanical_00011360","SITE_00026","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","82-52-2","Yes",2010,,"N/A","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","Yes","Polyethylene Foam",3.0000,,0.5000,,"Yes","No","No","No"
"Mechanical_00011361","SITE_00083","Storage Water Heater","Electric Resistance",50.0000,,"Richmond","8v50-2 c","Yes",2003,,"N/A","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Basement","Yes","Yes","Floor drain","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011362","SITE_00096","Storage Water Heater","Electric Resistance",30.0000,,"Rheem","82mv30-2","Yes",2008,,"N/A","No","No","Electric",4.5000,,"kW",0.9300,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",3.0000,,1.0000,,"No","No","No","No"
"Mechanical_00011363","SITE_00028","Storage Water Heater","Electric Resistance",50.0000,,"General Electric","Ge50m6a","Yes",2003,,"N/A","No","No","Electric",4.5000,,"kW",0.8600,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",15.0000,,1.0000,,"N/A","No","Yes","No"
"Mechanical_00011364","SITE_00031","Storage Water Heater","Electric Resistance",50.0000,,"AO Smith","Ees 52 913","No",1991,,"CA91-0688540-913","No","No","Electric",4.5000,,"kW",0.8700,,"N/A","N/A",,"N/A","N/A","N/A","Exterior","Yes","Unknown","N/A","No",,"N/A","Yes","Fiberglass",4.0000,,0.5000,,"N/A","No","Yes","No"
"Mechanical_00011365","SITE_00030","Storage Water Heater","Electric Resistance",52.0000,,"Reliance","5 52 20RT8 2F","No",1991,,"J91158009","No","No","Electric",4.5000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Exterior","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","N/A","No","Yes","No"
"Mechanical_00011366","SITE_00027","Storage Water Heater","Electric Resistance",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Exterior","Yes","Unknown","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","N/A","Unknown","Unknown","Unknown"
"Mechanical_00011367","SITE_00117","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","81mv520","No",1992,,"1192009031","No","No","Electric",4.0000,,"kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00011368","SITE_00032","Storage Water Heater","Electric Resistance",40.0000,,"Hotpoint","He40mo1aag","Yes",2004,,"N/A","No","No","Electric",3.8000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00011369","SITE_00039","Storage Water Heater","Electric Resistance",50.0000,,"AO Smith","Ent-50-100","No",2015,,"1537J006401","No","No","Electric",4.5000,,"kW",0.9500,,"N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","No","No","No"
