"PK_Mechanical_ID","CK_SiteID","System Type","Technology","Size (Gallons)","Size (Gallons)_notes","Make","Model","Year Manufactured on Nameplate","Year Manufactured","Year Manufactured_notes","Serial Number","Provided by Heating System","Supplemental Solar Water Heating","Fuel Type","Capacity","Capacity_notes","Capacity Units","Energy Factor","Energy Factor_notes","HPWH in Conditioned Space","HPWH Conditioned Space Type","HPWH Conditioned Space Size","HPWH Conditioned Space Size_notes","HPWH Relation to Space Heating Unit","HPWH Ducting","Location","Serves Whole House","Within 4 feet of a drain","Drain Type","Tank Wrap","Tank Wrap Thickness","Tank Wrap Thickness_notes","Pipe Wrap","Pipe Wrap Type","Pipe Wrap Length","Pipe Wrap Length_notes","Pipe Wrap Thickness","Pipe Wrap Thickness_notes","Can Exhaust to Garage or Get Supply Air from Home Interior","In a room greater than 1,000 cubic feet","Eight feet of Vertical Space","Wifi Enabled"
"Mechanical_00009909","SITE_00876","Storage Water Heater","Electric Resistance",50.0000,,"Rheem","72-52-2","No",,"Unknown","Unknown","No","No","Electric",4.5000,,"kW",0.9100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Yes",2.0000,,"Yes","Polyethylene Foam",4.0000,,1.0000,,"Yes","No","Yes","No"
"Mechanical_00009910","SITE_00877","Storage Water Heater","Electric Resistance",50.0000,,"Bradford White","M2HE50S6DS5","No",2005,,"BA5812484","No","No","Electric",4.5000,,"kW",0.9300,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Yes",4.0000,,"Yes","Polyethylene Foam",8.0000,,0.7500,,"No","No","Yes","No"
"Mechanical_00009911","SITE_00878","Storage Water Heater","Fossil Fuel Non-Condensing",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","No","No","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Unknown","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","Yes","No","No","No"
"Mechanical_00009912","SITE_00879","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Jetglas","M-I-MS40T5LX-8","No",1989,,"FL8301770","No","No","Natural Gas",30000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00009913","SITE_00880","Storage Water Heater","Fossil Fuel Non-Condensing",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","Unknown","Unknown","Natural Gas",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","Yes","Polyethylene Foam",10.0000,,1.0000,,"No","No","Yes","No"
"Mechanical_00009914","SITE_00881","Storage Water Heater","Electric Resistance",40.0000,,"General Electric","Ge40m06aag","Yes",2009,,"N/A","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Yes","Plumbed drain","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00009915","SITE_00882","Storage Water Heater","Electric Resistance",50.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Crawlspace","Yes","Unknown","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00009916","SITE_00883","Storage Water Heater","Electric Resistance",50.0000,,"Unknown","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","No","N/A","Yes",3.0000,,"Unknown","N/A",,"N/A",,"N/A","No","No","Yes","No"
"Mechanical_00009917","SITE_00884","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"State","PR640NHDST","No",2003,,"F03109330","No","No","Propane",32000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00009918","SITE_00887","Storage Water Heater","Unknown",,"Unknown","Unknown","Unknown","No",,"Unknown","Unknown","Unknown","Unknown","Unknown",,"Unknown","Btuh",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","Unknown","N/A","Unknown",,"N/A","Unknown","N/A",,"N/A",,"N/A","No","No","No","No"
"Mechanical_00009919","SITE_00888","Storage Water Heater","Electric Resistance",,"Unknown","Rheem","Unknown","No",,"Unknown","Unknown","No","No","Electric",,"Unknown","kW",,"Unknown","N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","Yes",2.0000,,"Yes","Polyethylene Foam",7.0000,,1.0000,,"Yes","No","No","No"
"Mechanical_00009920","SITE_00890","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Bradford White","Mi40t6fbn","No",2010,,"GL14165440","No","No","Natural Gas",40000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","No","N/A","Yes",2.0000,,"No","N/A",,"N/A",,"N/A","Yes","No","Yes","No"
"Mechanical_00009921","SITE_00891","Storage Water Heater","Electric Resistance",40.0000,,"Reliance","640eort100","No",2015,,"1548J001864","No","No","Electric",4.5000,,"kW",0.9200,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","No","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","Yes","Yes","Yes","No"
"Mechanical_00009922","SITE_00893","Storage Water Heater","Fossil Fuel Non-Condensing",40.0000,,"Rheem","22V40FT","No",2013,,"Q271347161","No","No","Natural Gas",32000.0000,,"Btuh",0.5900,,"N/A","N/A",,"N/A","N/A","N/A","Unknown","Yes","Yes","Plumbed drain","Yes",2.0000,,"Yes","Polyethylene Foam",3.0000,,1.0000,,"Yes","No","No","No"
"Mechanical_00009923","SITE_00894","Storage Water Heater","Fossil Fuel Non-Condensing",30.0000,,"Reliance","630nhdst2","No",2008,,"0835A010115","No","No","Propane",30000.0000,,"Btuh",0.6100,,"N/A","N/A",,"N/A","N/A","N/A","Main House","Yes","Unknown","N/A","No",,"N/A","No","N/A",,"N/A",,"N/A","No","No","Yes","No"
