class,id,name,presync,sync,postsync,init,heartbeat,precommit,commit,finalize
line_configuration,90,line_config_1PH-xx4_WPAL1/0_TPX,0,0,0,0,0,0,0,0
line_configuration,91,line_config_1PH-xx6_WPAL6_WPAL,0,0,0,0,0,0,0,0
line_configuration,92,line_config_1PH-x2_ACSRx4_TPX,0,0,0,0,0,0,0,0
line_configuration,93,line_config_3PH_H-4_ACSR4_ACSR4_ACSR2_WPAL,0,0,0,0,0,0,0,0
line_configuration,94,line_config_1PH-x4_ACSRx1/0_3W_CS,0,0,0,0,0,0,0,0
line_configuration,95,line_config_1PH-xx2_ACSR4_DPX,0,0,0,0,0,0,0,0
line_configuration,96,line_config_3P_1/0_AXNJ_DB,0,0,0,0,0,0,0,0
line_configuration,97,line_config_1P_1/0_AXNJ_DB_A,0,0,0,0,0,0,0,0
line_configuration,98,line_config_1P_1/0_AXNJ_DB_B,0,0,0,0,0,0,0,0
line_configuration,99,line_config_1P_1/0_AXNJ_DB_C,0,0,0,0,0,0,0,0
line_configuration,100,line_config_CAP_LINE,0,0,0,0,0,0,0,0
line_configuration,101,line_config_3PH-Connector,0,0,0,0,0,0,0,0
triplex_line_conductor,102,line_conductor_4/0triplex,0,0,0,0,0,0,0,0
triplex_line_configuration,103,line_config_4/0Triplex,0,0,0,0,0,0,0,0
triplex_line_configuration,104,line_config_750_Triplex,0,0,0,0,0,0,0,0
transformer_configuration,105,trans_config_1,0,0,0,1000,0,0,0,0
overhead_line_conductor,106,line_conductor_1/0_ACSR,0,0,0,0,0,0,0,0
overhead_line_conductor,107,line_conductor_600_CU,0,0,0,0,0,0,0,0
overhead_line_conductor,108,line_conductor_4_DPX,0,0,0,0,0,0,0,0
overhead_line_conductor,109,line_conductor_2_ACSR,0,0,0,0,0,0,0,0
overhead_line_conductor,110,line_conductor_4_ACSR,0,0,0,0,0,0,0,0
overhead_line_conductor,111,line_conductor_2/0_WPAL,0,0,0,0,0,0,0,0
overhead_line_conductor,112,line_conductor_1/0_TPX,0,0,0,0,0,0,0,0
overhead_line_conductor,113,line_conductor_4_TPX,0,0,0,0,0,0,0,0
overhead_line_conductor,114,line_conductor_1/0_3W_CS,0,0,0,0,0,0,0,0
overhead_line_conductor,115,line_conductor_2_WPAL,0,0,0,0,0,0,0,0
overhead_line_conductor,116,line_conductor_4/0_TPX,0,0,0,0,0,0,0,0
overhead_line_conductor,117,line_conductor_DEFAULT,0,0,0,0,0,0,0,0
overhead_line_conductor,118,line_conductor_397_ACSR,0,0,0,0,0,0,0,0
overhead_line_conductor,119,line_conductor_6_WPAL,0,0,0,0,0,0,0,0
overhead_line_conductor,120,line_conductor_4_WPAL,0,0,0,0,0,0,0,0
overhead_line_conductor,121,line_conductor_2/0_ACSR,0,0,0,0,0,0,0,0
line_spacing,122,line_spacing_SinglePhase1A,0,0,0,0,0,0,0,0
line_spacing,123,line_spacing_SinglePhase1B,0,0,0,0,0,0,0,0
line_spacing,124,line_spacing_SinglePhase1C,0,0,0,0,0,0,0,0
line_spacing,125,line_spacing_TwoPhase1AC,0,0,0,0,0,0,0,0
line_spacing,126,line_spacing_ThreePhase1,0,0,0,0,0,0,0,0
regulator,127,FEEDER_REG,0,0,1000,1000,0,0,0,0
regulator,128,VREG2,1000,0,2000,0,0,0,0,0
regulator,129,VREG3,1000,0,0,0,0,0,0,0
regulator,130,VREG4,0,0,0,0,0,0,0,0
capacitor,131,CapBank0,0,0,0,6000,0,0,0,0
capacitor,132,CapBank1,0,0,0,0,0,0,0,0
capacitor,133,CapBank2,0,0,2000,0,0,0,0,0
capacitor,134,CapBank3,1000,0,0,0,0,0,0,0
transformer,135,HVMV_Sub,0,0,0,0,0,0,0,0
transformer,136,T21396254A,0,0,0,0,0,0,0,0
transformer,137,T5321859B,2000,1000,0,0,0,0,0,0
transformer,138,T5391741B,0,0,0,0,0,0,0,0
transformer,139,T5293672A,0,1000,1000,0,0,0,0,0
transformer,140,T21474711C,0,0,1000,0,0,0,0,0
transformer,141,T5260488A,0,0,1000,0,0,0,0,0
transformer,142,T5391758B,0,0,0,0,0,0,0,0
transformer,143,T228091193A,0,0,0,0,0,0,0,0
transformer,144,T228091193B,0,0,1000,0,0,0,0,0
transformer,145,T228091193C,0,0,0,0,0,0,0,0
transformer,146,T5302862C,0,0,1000,0,0,0,0,0
transformer,147,T21236413B,0,0,0,0,0,0,0,0
transformer,148,T5302468A,1000,0,1000,0,0,0,0,0
transformer,149,T5294787A,0,0,1000,0,0,0,0,0
transformer,150,T5157715B,0,0,0,0,0,0,0,0
transformer,151,T5355768B,0,0,0,0,0,0,0,0
transformer,152,T5138562A,0,0,1000,0,0,0,0,0
transformer,153,T5355934A,0,1000,0,0,0,0,0,0
transformer,154,T5293483A,0,0,0,0,0,0,0,0
transformer,155,T21399762A,1000,1000,1000,0,0,0,0,0
transformer,156,T5138650C,0,1000,0,0,0,0,0,0
transformer,157,T5323242B,0,0,0,0,0,0,0,0
transformer,158,T28127090C,1000,0,0,0,0,0,0,0
transformer,159,T5138769A,0,0,0,0,0,0,0,0
transformer,160,T5338896A,1000,0,0,0,0,0,0,0
transformer,161,T5355586B,1000,1000,0,0,0,0,0,0
transformer,162,T5293471A,0,1000,0,0,0,0,0,0
transformer,163,T5293471B,2000,0,0,0,0,0,0,0
transformer,164,T5293471C,1000,0,0,0,0,0,0,0
transformer,165,T5338954A,0,1000,0,0,0,0,0,0
transformer,166,T21459629C,1000,1000,0,0,0,0,0,0
transformer,167,T5260562A,2000,0,0,0,0,0,0,0
transformer,168,T21393486C,0,1000,0,0,0,0,0,0
transformer,169,T5293518B,0,1000,0,0,0,0,0,0
transformer,170,T226195194C,1000,0,1000,0,0,0,0,0
transformer,171,T21383494B,0,0,0,0,0,0,0,0
transformer,172,T5251863C,0,0,0,0,0,0,0,0
transformer,173,T5293645A,0,0,0,0,0,0,0,0
transformer,174,T21482431A,0,0,0,0,0,0,0,0
transformer,175,T5293480A,1000,0,0,0,0,0,0,0
transformer,176,T21469911A,1000,0,0,0,0,0,0,0
transformer,177,T5355432C,0,0,0,0,0,0,0,0
transformer,178,T5323285B,0,0,0,0,0,0,0,0
transformer,179,T226192954C,0,1000,0,0,0,0,0,0
transformer,180,T5207292C,0,1000,0,0,0,0,0,0
transformer,181,T5337672B,0,1000,0,0,0,0,0,0
transformer,182,T5442373C,0,0,0,0,0,0,0,0
transformer,183,T21470405A,0,0,0,0,0,0,0,0
transformer,184,T5218474A,1000,1000,0,0,0,0,0,0
transformer,185,T5218472A,0,0,0,0,0,0,0,0
transformer,186,T5356014A,0,0,1000,0,0,0,0,0
transformer,187,T5260528C,0,0,0,0,0,0,0,0
transformer,188,T5355933A,0,0,0,0,0,0,0,0
transformer,189,T5138649A,0,0,0,0,0,0,0,0
transformer,190,T5391978C,2000,0,1000,0,0,0,0,0
transformer,191,T5138642A,0,0,0,0,0,0,0,0
transformer,192,T21149420A,0,1000,0,0,0,0,0,0
transformer,193,T21382992A,1000,0,1000,0,0,0,0,0
transformer,194,T5338958C,0,1000,1000,0,0,0,0,0
transformer,195,T5355585B,0,0,1000,0,0,0,0,0
transformer,196,T5338900A,0,1000,0,0,0,0,0,0
transformer,197,T5323389B,0,0,0,0,0,0,0,0
transformer,198,T28127253A,0,0,1000,0,0,0,0,0
transformer,199,T21397067A,1000,0,1000,0,0,0,0,0
transformer,200,T5260520B,0,0,1000,0,0,0,0,0
transformer,201,T5323250B,0,0,0,0,0,0,0,0
transformer,202,T5337659C,0,0,0,0,0,0,0,0
transformer,203,T28118903B,0,0,0,0,0,0,0,0
transformer,204,T21398646B,0,0,0,0,0,0,0,0
transformer,205,T5293656B,0,1000,0,0,0,0,0,0
transformer,206,T5338910C,0,0,0,0,0,0,0,0
transformer,207,T28129923C,1000,1000,0,0,0,0,0,0
transformer,208,T5337716A,1000,0,0,0,0,0,0,0
transformer,209,T5337698B,0,0,1000,0,0,0,0,0
transformer,210,T2224386946A,1000,0,0,0,0,0,0,0
transformer,211,T5330121B,0,0,0,0,0,0,0,0
transformer,212,T5323252B,0,1000,0,0,0,0,0,0
transformer,213,T5441331C,0,1000,0,0,0,0,0,0
transformer,214,T5260474A,0,0,1000,0,0,0,0,0
transformer,215,T5355376B,1000,0,0,0,0,0,0,0
transformer,216,T5338944C,1000,0,0,0,0,0,0,0
transformer,217,T5260640C,1000,0,0,0,0,0,0,0
transformer,218,T5274997C,0,0,0,0,0,0,0,0
transformer,219,T5138372C,0,0,0,0,0,0,0,0
transformer,220,T226308721A,0,0,0,0,0,0,0,0
transformer,221,T21380616A,0,0,0,0,0,0,0,0
transformer,222,T226193170A,1000,0,1000,0,0,0,0,0
transformer,223,T5293666C,0,0,1000,0,0,0,0,0
transformer,224,T5338994B,0,0,0,0,0,0,0,0
transformer,225,T228665517C,1000,0,1000,0,0,0,0,0
transformer,226,T5260647A,1000,0,1000,0,0,0,0,0
transformer,227,T226115278A,0,0,0,0,0,0,0,0
transformer,228,T5338977A,0,0,0,0,0,0,0,0
transformer,229,T5338977B,0,0,0,0,0,0,0,0
transformer,230,T5338977C,0,0,0,0,0,0,0,0
transformer,231,T5321876A,0,0,1000,0,0,0,0,0
transformer,232,T5275001C,0,1000,0,0,0,0,0,0
transformer,233,T227411650C,0,0,0,0,0,0,0,0
transformer,234,T21396699B,0,0,0,0,0,0,0,0
transformer,235,T5302412A,0,0,1000,0,0,0,0,0
transformer,236,T2223661373A,0,0,0,0,0,0,0,0
transformer,237,T226881700A,0,0,0,0,0,0,0,0
transformer,238,T5355777B,0,0,0,0,0,0,0,0
transformer,239,T5337671A,0,0,1000,0,0,0,0,0
transformer,240,T5339018A,0,0,0,0,0,0,0,0
transformer,241,T21398676A,0,0,0,0,0,0,0,0
transformer,242,T5138469C,0,0,0,0,0,0,0,0
transformer,243,T5138373C,1000,0,0,0,0,0,0,0
transformer,244,T5391995A,1000,1000,0,0,0,0,0,0
transformer,245,T225533423C,0,0,0,0,0,0,0,0
transformer,246,T5260568C,0,0,0,0,0,0,0,0
transformer,247,T5138754B,0,0,0,0,0,0,0,0
transformer,248,T5260552A,0,1000,0,0,0,0,0,0
transformer,249,T5338968C,0,0,0,0,0,0,0,0
transformer,250,T5247061A,0,0,0,0,0,0,0,0
transformer,251,T5391746B,0,1000,0,0,0,0,0,0
transformer,252,T5338941C,0,1000,0,0,0,0,0,0
transformer,253,T5338982B,0,0,0,0,0,0,0,0
transformer,254,T5339008B,1000,0,0,0,0,0,0,0
transformer,255,T21391094A,0,0,0,0,0,0,0,0
