NAICS,REGION,DESCRIPTION,FLOORAREA[Msf],SITES[unit],FLOORAREA_PER_SITE[sf/unit],BUILDINGS[unit],BUILDINGS_PER_SITE[unit/unit],PURCHASES[GWh],TRANSFERS[GWh],GENERATION[GWh],SALES[GWh],NET_DEMAND[GWh],REPORTED_ELECTRIC[GWh],REPORTED_ELECTRIFICATION[pu],UNREPORTED_ELECTRIC[GWh],UNREPORTED_ELECTRIFICATION[pu],A,B,C,D,E,I,Z
322,NERC,Paper,567.0,3220.0,185393.9,11450.0,3.6,61777.0,58.0,44435.0,6797.0,99474.0,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
322,NORTHEAST,Paper,,,185393.9,,3.6,6877.0,6.0,6392.0,1645.0,11631.0,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
322,MIDWEST,Paper,,,185393.9,,3.6,13295.0,37.0,4890.0,210.0,18011.0,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
322,SOUTH,Paper,,,185393.9,,3.6,29362.0,15.0,29635.0,2700.0,56311.0,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
322,WEST,Paper,,,185393.9,,3.6,12245.0,0.0,3518.0,2242.0,13520.0,56017.0,0.12730206901476337,505.0,8.776609900990099,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
323,NERC,Printing and Related Support,421.0,14005.0,33778.0,12139.0,0.9,14213.0,0.0,,,14232.0,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
323,NORTHEAST,Printing and Related Support,,,33778.0,,0.9,2303.0,0.0,1.0,0.0,2304.0,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
323,MIDWEST,Printing and Related Support,,,33778.0,,0.9,4189.0,0.0,0.0,0.0,4189.0,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
323,SOUTH,Printing and Related Support,,,33778.0,,0.9,6550.0,0.0,,,6551.0,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
323,WEST,Printing and Related Support,,,33778.0,,0.9,1171.0,0.0,,,1189.0,14219.0,0.021356494830860117,194.0,10.939505154639175,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
324,NERC,Petroleum and Coal Products,107.0,1918.0,64588.2,12697.0,7.2,50472.0,3207.0,18758.0,4775.0,67662.0,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
324,NORTHEAST,Petroleum and Coal Products,,,64588.2,,7.2,2924.0,,230.0,1.0,3155.0,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
324,MIDWEST,Petroleum and Coal Products,,,64588.2,,7.2,10482.0,0.0,1536.0,886.0,11132.0,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
324,SOUTH,Petroleum and Coal Products,,,64588.2,,7.2,29488.0,2545.0,11742.0,3320.0,40456.0,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
324,WEST,Petroleum and Coal Products,,,64588.2,,7.2,7578.0,661.0,5249.0,569.0,12919.0,48904.0,0.24509970554555865,763.0,10.392513761467889,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
325,NERC,Chemicals,917.0,8530.0,122210.6,45598.0,5.9,140688.0,5624.0,48802.0,12018.0,183096.0,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
325,NORTHEAST,Chemicals,,,122210.6,,5.9,,6.0,683.0,25.0,,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
325,MIDWEST,Chemicals,,,122210.6,,5.9,38103.0,0.0,2557.0,180.0,40480.0,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
325,SOUTH,Chemicals,,,122210.6,,5.9,,5591.0,44508.0,11737.0,,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
325,WEST,Chemicals,,,122210.6,,5.9,11517.0,28.0,1053.0,76.0,12522.0,134327.0,0.08958827339254208,2115.0,1.43416926713948,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
326,NERC,Plastics and Rubber Products,897.0,8217.0,116633.4,14910.0,1.9,55629.0,0.0,338.0,0.0,55967.0,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
326,NORTHEAST,Plastics and Rubber Products,,,116633.4,,1.9,5269.0,0.0,,0.0,5559.0,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
326,MIDWEST,Plastics and Rubber Products,,,116633.4,,1.9,17115.0,0.0,,0.0,17162.0,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
326,SOUTH,Plastics and Rubber Products,,,116633.4,,1.9,23590.0,0.0,0.0,0.0,23590.0,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
326,WEST,Plastics and Rubber Products,,,116633.4,,1.9,9655.0,0.0,0.0,0.0,9655.0,55631.0,0.018031816792795384,1.0,6.824,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
327,NERC,Nonmetallic Mineral Products,536.0,12184.0,49562.5,29071.0,2.6,37750.0,33.0,491.0,,37841.0,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
327,NORTHEAST,Nonmetallic Mineral Products,,,49562.5,,2.6,,0.0,238.0,54.0,,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
327,MIDWEST,Nonmetallic Mineral Products,,,49562.5,,2.6,11309.0,32.0,172.0,37.0,11477.0,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
327,SOUTH,Nonmetallic Mineral Products,,,49562.5,,2.6,,0.0,,,,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
327,WEST,Nonmetallic Mineral Products,,,49562.5,,2.6,5780.0,0.0,76.0,0.0,5856.0,37498.0,0.07524998666595552,1.0,6.824,0.14545454545454548,0.3090909090909091,0.018181818181818184,0.009090909090909092,0.16363636363636364,0.02727272727272728,0.3272727272727272
331,NERC,Primary Metals,665.0,3138.0,226095.8,14803.0,4.9,131399.0,0.0,11399.0,4362.0,138437.0,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
331,NORTHEAST,Primary Metals,,,226095.8,,4.9,12965.0,0.0,462.0,,13403.0,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
331,MIDWEST,Primary Metals,,,226095.8,,4.9,49470.0,0.0,4887.0,309.0,54048.0,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
331,SOUTH,Primary Metals,,,226095.8,,4.9,55294.0,0.0,6037.0,4029.0,57303.0,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
331,WEST,Primary Metals,,,226095.8,,4.9,13670.0,0.0,13.0,0.0,13683.0,127040.0,0.04522833753148614,2599.0,0.7811235090419392,0.13333333333333333,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.15,0.03333333333333333,0.36666666666666664
332,NERC,Fabricated Metal Products,1543.0,36439.0,44463.5,51834.0,1.5,41866.0,0.0,,0.0,43683.0,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
332,NORTHEAST,Fabricated Metal Products,,,44463.5,,1.5,4311.0,0.0,0.0,0.0,4311.0,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
332,MIDWEST,Fabricated Metal Products,,,44463.5,,1.5,19698.0,0.0,,0.0,21512.0,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
332,SOUTH,Fabricated Metal Products,,,44463.5,,1.5,12819.0,0.0,0.0,0.0,12819.0,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
332,WEST,Fabricated Metal Products,,,44463.5,,1.5,5038.0,0.0,,0.0,5040.0,41869.0,0.02803334209080704,124.0,0.44025806451612903,0.16,0.32999999999999996,0.02,0.01,0.18,0.030000000000000006,0.27
333,NERC,Machinery,917.0,15307.0,64461.3,24802.0,1.7,23482.0,0.0,344.0,68.0,23758.0,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
333,NORTHEAST,Machinery,,,64461.3,,1.7,3063.0,0.0,,0.0,3072.0,23424.0,0.02388866120218579,124.0,0.44025806451612903,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
