REGION,NAICS,DESCRIPTION,FLOORAREA[Msf],SITES[unit],FLOORAREA_PER_SITE[sf/unit],BUILDINGS[unit],BUILDINGS_PER_SITE[unit/unit],PURCHASES[GWh],TRANSFERS[GWh],GENERATION[GWh],SALES[GWh],NET_DEMAND[GWh],REPORTED_ELECTRIC[GWh],REPORTED_ELECTRIFICATION[pu],UNREPORTED_ELECTRIC[GWh],UNREPORTED_ELECTRIFICATION[pu],A,B,C,D,E,I,Z
NERC,314,Textile Product Mills,151,4277,39709.4,2522,0.7,2748,0,*,0,2748,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NORTHEAST,314,Textile Product Mills,151,4277,39709.4,2522,0.7,119,0,0,0,119,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
MIDWEST,314,Textile Product Mills,151,4277,39709.4,2522,0.7,323,0,0,0,323,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
SOUTH,314,Textile Product Mills,151,4277,39709.4,2522,0.7,2100,0,*,0,2100,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
WEST,314,Textile Product Mills,151,4277,39709.4,2522,0.7,206,0,0,0,206,2748.0,0.03352401746724891,766.0,0.040088772845953004,0.16,0.33999999999999997,0.02,0.0,0.18,0.02,0.27999999999999997
NERC,315,Apparel,44,3874,12439.3,2324,0.6,803,0,0,0,803,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
NORTHEAST,315,Apparel,44,3874,12439.3,2324,0.6,102,0,0,0,102,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
MIDWEST,315,Apparel,44,3874,12439.3,2324,0.6,Q,0,0,0,Q,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
SOUTH,315,Apparel,44,3874,12439.3,2324,0.6,579,0,0,0,579,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
WEST,315,Apparel,44,3874,12439.3,2324,0.6,79,0,0,0,79,803.0,0.0212453300124533,766.0,0.040088772845953004,0.15000000000000002,0.29375,0.018750000000000003,0.0,0.225,0.025,0.2875
